horizon,horizon_months,security_id,ticker,company_name,model_version,expected_total_return,expected_price_return,expected_dividend_return,p5,p50,p95,volatility,var_5,cvar_5,expected_shortfall_5,dividend_cut_probability,drawdown_probability,forecast_confidence,selected_distribution
6M,6,ORA.PA,ORA.PA,Orange S.A.,student_t,0.175,0.1513999999999999,0.0236,-0.2378970633136332,0.175,0.526078631132151,0.1577688583801997,-0.2378970633136332,-0.1655586727781869,-0.1655586727781869,0.2854251022505119,0.2202492934571913,71.69915765996333,student_t
6M,6,AD.AS,AD.AS,Koninklijke Ahold Delhaize NV,student_t,0.175,0.1538,0.0212,-0.2030741427882347,0.175,0.4988130367740492,0.1467171726391996,-0.2030741427882347,-0.1412595030548145,-0.1412595030548145,0.2331450315818097,0.223070593047125,72.92414034571713,student_t
6M,6,SHELL.AS,SHELL.AS,Shell PLC,student_t,0.175,0.1392999999999999,0.0356999999999999,-0.2378684658049332,0.175,0.5254201172152365,0.1574203777900437,-0.2378684658049332,-0.1649409507596287,-0.1649409507596287,0.2755130962848147,0.2275884917566568,71.63191155574603,student_t
6M,6,ELE.MC,ELE.MC,Endesa SA,student_t,0.175,0.156,0.019,-0.1848228056326308,0.175,0.4844365148334522,0.1406922196335249,-0.1848228056326308,-0.1280318678115628,-0.1280318678115628,0.2269575407292591,0.2166237724281339,73.59530456128938,student_t
6M,6,ALV.XETRA,ALV.XETRA,Allianz SE VNA O.N.,student_t,0.175,0.1553999999999999,0.0196,-0.1652382965655702,0.175,0.4670033219674584,0.1327725274075675,-0.1652382965655702,-0.1110807823087237,-0.1110807823087237,0.2419432753940237,0.215658744361157,74.10193172443527,student_t
6M,6,HEN3.XETRA,HEN3.XETRA,Henkel AG & Co. KGaA vz. (Pref Shares),student_t,0.175,0.1614999999999999,0.0135,-0.1835179355787778,0.175,0.4800335342150227,0.1380678032034086,-0.1835179355787778,-0.1230212310304439,-0.1230212310304439,0.2269575407292591,0.2393637966262455,73.24948608571358,student_t
6M,6,IMB.LSE,IMB.LSE,Imperial Brands PLC,student_t,0.175,0.14465,0.03035,-0.2209310378266318,0.175,0.5096919564570899,0.1500927170640736,-0.2209310378266318,-0.1493810560268391,-0.1493810560268391,0.3047308740625924,0.2260196054829471,71.98783740618218,student_t
6M,6,HIG.US,HIG.US,Hartford Financial Services Group,student_t,0.175,0.16665,0.00835,-0.1764650476954286,0.175,0.476032845380373,0.1363847312659271,-0.1764650476954286,-0.1189624877083442,-0.1189624877083442,0.2824988309495793,0.205726434295783,73.72208529866809,student_t
6M,6,NOVN.SW,NOVN.SW,Novartis AG,student_t,0.1514142403064272,0.1365642403064272,0.01485,-0.2044813555049757,0.1514142403064272,0.4542871479773507,0.1365687150582749,-0.2044813555049757,-0.1433133360504661,-0.1433133360504661,0.3181975407292591,0.206932316855486,72.53624835168635,student_t
6M,6,0728.HK,0728.HK,China Telecom,student_t,0.175,0.1417,0.0333,-0.2397713603650487,0.175,0.5230772303332614,0.1554243334683961,-0.2397713603650487,-0.1614503474711566,-0.1614503474711566,0.2963353185070368,0.244659504447232,71.19445002502067,student_t
6M,6,1113.HK,1113.HK,CK Asset Holdings Ltd,student_t,0.175,0.156,0.019,-0.2359067161283614,0.175,0.5253807381561413,0.1579931659938334,-0.2359067161283614,-0.1658672932372639,-0.1658672932372639,0.2399575407292591,0.2300938630777103,71.82819112175488,student_t
6M,6,3988.HK,3988.HK,Bank of China Ltd H,student_t,0.175,0.1508,0.0242,-0.1712615653969805,0.175,0.4700575860108196,0.1333298867203685,-0.1712615653969805,-0.1126689566444208,-0.1126689566444208,0.300276608727357,0.2104285242097938,73.69475475440063,student_t
6M,6,000333.SHE,000333.SHE,Midea Group Co Ltd,student_t,0.175,0.1498,0.0252,-0.1710334327720525,0.175,0.4713155481816314,0.134216518854166,-0.1710334327720525,-0.1142960755755922,-0.1142960755755922,0.295166429618148,0.2017589469356128,73.87798505544175,student_t
