symbol,date,raw_previous_close,raw_event_close,raw_daily_return,repaired_daily_return,adjustment_type,adjustment_factor,repaired_event_close,threshold
600018.SS,2006-10-26,9.367897987365723,2.168865919113159,-0.7684789136220035,0.0,persistent_level_shift_historical_rescale,0.2315210863779965,2.168865919113159,0.5
DG.PA,2005-03-25,12.076156616210938,48.30462646484375,3.0,0.0,persistent_level_shift_historical_rescale,4.0,48.30462646484375,0.5
DG.PA,2005-03-29,48.30462646484375,11.967655181884766,-0.7522461913540547,0.0,persistent_level_shift_historical_rescale,0.24775380864594534,11.967655181884766,0.5
DG.PA,2005-12-26,16.33061981201172,32.66123962402344,1.0,0.0,persistent_level_shift_historical_rescale,2.0,32.66123962402344,0.5
GEBN.SW,1999-06-22,47.49401092529297,19.490711212158203,-0.5896174942390808,0.0,persistent_level_shift_historical_rescale,0.4103825057609192,19.490711212158203,0.5
HIG,2008-10-30,13.511123657226562,6.544662952423096,-0.5156092773288611,0.0,persistent_level_shift_historical_rescale,0.4843907226711389,6.544662952423096,0.5
HIG,2008-11-03,7.020886421203613,11.075581550598145,0.5775189749757299,0.0,persistent_level_shift_historical_rescale,1.57751897497573,11.075581550598145,0.5
HIG,2008-12-05,5.138672828674316,10.398504257202148,1.023577799928697,0.0,persistent_level_shift_historical_rescale,2.023577799928697,10.398504257202148,0.5
SHEL.L,1997-07-01,22.47094907564625,6.350349133181281,-0.7173973777518942,0.0,persistent_level_shift_historical_rescale,0.28260262224810584,6.350349133181281,0.5
SHELL.AS,1997-07-01,66.32563018798828,12.021522521972656,-0.8187499690858606,0.0,persistent_level_shift_historical_rescale,0.18125003091413944,12.021522521972656,0.5
SHELL.AS,2005-07-18,18.956201553344727,9.274343490600586,-0.5107488457272615,0.0,persistent_level_shift_historical_rescale,0.4892511542727385,9.274343490600586,0.5
ULVR.L,1997-08-26,58.969881010620476,249.1652961137949,3.225297589949694,0.0,persistent_level_shift_historical_rescale,4.225297589949694,249.1652961137949,0.5
ULVR.L,1997-10-13,260.9423141457901,479.2962974895112,0.8367902463750105,0.0,persistent_level_shift_historical_rescale,1.8367902463750105,479.2962974895112,0.5
