date,period_start,strategy,strategy_label,gross_return,pre_bank_fee_return,net_return,turnover,transaction_cost_usd,transaction_cost_return,bank_fee_usd,bank_fee_return,bank_fee_assessment_aum_usd,total_cost_usd,gross_value_usd,pre_bank_fee_value_usd,net_value_usd,live_weight,available_target_weight,cash_weight,unfilled_target_weight,holding_count,maximum_adv_participation,liquidity_breaches,initial_capital_usd,capital_source,evidence_type
1997-02-28,1997-01-31,current_portfolio,Current Portfolio,0.025113359740248895,0.024467849568720057,0.024467849568720057,0.3017777057803155,117161.63712995272,0.0006296963798153416,0.0,0.0,0.0,117161.63712995272,190733126.8224445,190613022.86297354,190613022.86297354,0.3017777057803155,0.5773528681400545,0.6982222942196845,0.27557516235973895,5,0.05,3,186060522.0,current_portfolio_nav,retrospective_holdings_replay
1997-03-31,1997-02-28,current_portfolio,Current Portfolio,0.044977623136437245,0.044828924595256225,0.044828924595256225,0.038778495670902136,27123.909452495303,0.00014229830179018742,0.0,0.0,0.0,27123.909452495303,199311849.5202987,199157999.69177163,199157999.69177163,0.33798434266653354,0.5773528681400545,0.6620156573334665,0.2393685254735209,5,0.05000000000000002,3,186060522.0,current_portfolio_nav,retrospective_holdings_replay
1997-04-30,1997-03-31,current_portfolio,Current Portfolio,-0.007198020692534014,-0.0073252081864148,-0.0073252081864148,0.02895113193350006,25514.057581519206,0.00012810962964584014,0.0,0.0,0.0,25514.057581519206,197877198.70318434,197699125.88203946,197699125.88203946,0.36763624925423777,0.5773528681400545,0.6323637507457622,0.2097166188858167,5,0.05000000000000003,3,186060522.0,current_portfolio_nav,retrospective_holdings_replay
1997-05-31,1997-04-30,current_portfolio,Current Portfolio,0.015329846057156057,0.015208417541399122,0.015208417541399122,0.045249880705709164,23643.854768505393,0.0001195951406614357,0.0,0.0,0.0,23643.854768505393,200910625.69752544,200705816.73602313,200705816.73602313,0.3999578308967081,0.5773528681400545,0.6000421691032919,0.17739503724334635,5,0.05000000000000001,3,186060522.0,current_portfolio_nav,retrospective_holdings_replay
1997-06-30,1997-05-31,current_portfolio,Current Portfolio,0.03954528203760492,0.039447142849517114,0.039447142849517114,0.02807366406150185,18947.809431041736,9.440588090161186e-05,0.0,0.0,0.0,18947.809431041736,208855693.05508578,208623087.75953802,208623087.75953802,0.43292482916273733,0.5773528681400545,0.5670751708372627,0.1444280389773171,5,0.05000000000000002,3,186060522.0,current_portfolio_nav,retrospective_holdings_replay
1997-07-31,1997-06-30,current_portfolio,Current Portfolio,0.004425309098594102,0.004368421309295156,0.004368421309295156,0.01584351959124181,11815.817614158583,5.6637152393112235e-05,0.0,0.0,0.0,11815.817614158583,209779944.05385563,209534441.30171776,209534441.30171776,0.44405161062054954,0.5773528681400545,0.5559483893794505,0.13330125751950492,5,0.05000000000000002,2,186060522.0,current_portfolio_nav,retrospective_holdings_replay
1997-08-31,1997-07-31,current_portfolio,Current Portfolio,-0.001054364945575786,-0.0011158946284427484,-0.0011158946284427484,0.02043681299840379,12906.195563181946,6.159462608153164e-05,0.0,0.0,0.0,12906.195563181946,209558759.4345604,209300622.94419542,209300622.94419542,0.4636266452347121,0.5773528681400545,0.5363733547652879,0.11372622290534236,5,0.050000000000000024,2,186060522.0,current_portfolio_nav,retrospective_holdings_replay
1997-09-30,1997-08-31,current_portfolio,Current Portfolio,0.04342911485081092,0.04331417314005925,0.04331417314005925,0.03324657787853762,23056.067077491552,0.000110157661038777,0.0,0.0,0.0,23056.067077491552,218659710.8660374,218366306.36472255,218366306.36472255,0.47737063502374544,0.5773528681400545,0.5226293649762546,0.09998223311630902,5,0.050000000000000024,2,186060522.0,current_portfolio_nav,retrospective_holdings_replay
1997-10-31,1997-09-30,current_portfolio,Current Portfolio,0.010581523872536728,0.010433460307538445,0.010433460307538445,0.02720713498150885,31993.55324837009,0.00014651323173884442,0.0,0.0,0.0,31993.55324837009,220973463.81652832,220644622.55468267,220644622.55468267,0.4991472368673333,0.5773528681400545,0.5008527631326667,0.07820563127272115,5,0.05000000000000006,2,186060522.0,current_portfolio_nav,retrospective_holdings_replay
1997-11-30,1997-10-31,current_portfolio,Current Portfolio,0.004612227449190217,0.004554202200635071,0.004554202200635071,0.021484578848653364,12744.180009229269,5.775885159435898e-05,0.0,0.0,0.0,12744.180009229269,221992643.69188556,221649482.78027952,221649482.78027952,0.5223397799176811,0.5773528681400545,0.4776602200823189,0.05501308822237337,5,0.04999999999999997,1,186060522.0,current_portfolio_nav,retrospective_holdings_replay
