strategy,monthly_mean,ar1_coefficient,residual_volatility,residual_skewness,residual_pearson_kurtosis,student_t_degrees_of_freedom
current_portfolio,0.012177504328869312,0.019575447162019876,0.048160667566018674,-0.31152282566754924,3.569078692530606,7.780700905059362
portfolio_aware_overlay,0.011316293517641029,0.053190438799426934,0.044669358452904054,-0.39299215377503294,4.49246399352288,7.780700905059362
clean_sheet,0.0053891655220371015,0.09543040358092986,0.023769687433196154,-0.14974996236328486,5.064310844270302,7.780700905059362
llm_benchmark,0.004013373601114118,0.020799457947951485,0.011705017616766065,0.36043293034495205,4.851299485684137,7.780700905059362
optimised_cvar_constrained,0.008416303582959186,0.06656491681973634,0.03459646241986459,-0.15487567142473685,4.269364219291487,7.780700905059362
optimised_dividend_income,0.009431407314133215,0.04766403467569087,0.0413196146698314,-0.18838490277249784,5.370382476348437,7.780700905059362
optimised_mean_variance,0.008532545591501272,0.05759986309952354,0.03515642181616438,-0.16729657426522593,4.573504747491573,7.780700905059362
optimised_regime_aware,0.009122689293044895,0.04184985002307355,0.03970319463891747,-0.06647523926696662,4.600509886657749,7.780700905059362
optimised_risk_parity,0.010011749099034475,0.0728812472467027,0.0359525926637859,-0.37434879358619866,5.001003748980176,7.780700905059362
optimised_score_weighted,0.009049704209253141,0.016172739034778786,0.035603973264937104,-0.01311096592140435,4.727571441183451,7.780700905059362
final_portfolio,0.007952270269425752,0.07016960993797094,0.03409310268970867,-0.057965506624070566,4.117141179389212,7.780700905059362
drl_baseline,0.007952270269425752,0.07016960993797122,0.03409310268970866,-0.057965506624070726,4.117141179389213,7.780700905059362
drl_challenger_raw,0.007656823249947653,0.07122977473212194,0.03244149277480777,-0.06117923989932381,4.129246772471957,7.780700905059362
trend_risk_controlled_indices,0.0039275241297844436,0.08164165346905543,0.024815002104718698,-0.8424350526541716,7.493559517086143,7.780700905059362
