date,as_of_date,strategy,gross_return,transaction_cost,net_return,turnover,valid_outcome_weight,holding_count,regime,evidence_mode
2025-06-30,2025-05-31,wolf_cvar,0.0043758052854163,0.000573891829622,0.0038019134557942,0.05,1.0000000000000002,20,high_volatility,reconstructed_pit_proxy
2025-06-30,2025-05-31,equal_weight_eligible,0.0314844166196877,0.0002080821869536,0.0312763344327341,0.037593984962406,1.0000000000000002,385,high_volatility,reconstructed_pit_proxy
2025-06-30,2025-05-31,cap_weight_eligible,0.0193072248254333,0.0001501863423528,0.0191570384830805,0.0330852860427618,1.0,385,high_volatility,reconstructed_pit_proxy
2025-07-30,2025-06-30,wolf_cvar,0.0161120196028404,0.0013494175969883,0.014762602005852,0.1,1.0000000000000002,20,high_volatility,reconstructed_pit_proxy
2025-07-30,2025-06-30,equal_weight_eligible,0.0474943804695035,0.0002002638328214,0.0472941166366821,0.0337662337662337,1.0,378,high_volatility,reconstructed_pit_proxy
2025-07-30,2025-06-30,cap_weight_eligible,0.0201239470380942,0.0002484650991571,0.0198754819389371,0.0452927280424306,1.0,378,high_volatility,reconstructed_pit_proxy
2025-08-31,2025-07-31,wolf_cvar,0.0291393449434185,0.0009259453017143,0.0282133996417042,0.0999999999999999,1.0000000000000002,20,high_volatility,reconstructed_pit_proxy
2025-08-31,2025-07-31,equal_weight_eligible,0.0575151311705144,0.000274701518173,0.0572404296523414,0.044973544973545,1.0,370,high_volatility,reconstructed_pit_proxy
2025-08-31,2025-07-31,cap_weight_eligible,0.0442355333142555,0.0002187132423117,0.0440168200719437,0.0455951982491713,1.0,370,high_volatility,reconstructed_pit_proxy
2025-09-30,2025-08-31,wolf_cvar,-0.0122579093579876,0.0005557982919395,-0.0128137076499271,0.0499999999999999,1.0000000000000002,20,steady,reconstructed_pit_proxy
2025-09-30,2025-08-31,equal_weight_eligible,0.0119138060668159,0.0001709559741143,0.0117428500927015,0.0324324324324324,1.0,364,steady,reconstructed_pit_proxy
2025-09-30,2025-08-31,cap_weight_eligible,0.0003919360226084,0.0001778557208582,0.0002140803017502,0.038372482342793,1.0,364,steady,reconstructed_pit_proxy
2025-10-30,2025-09-30,wolf_cvar,0.0227044365937053,0.0010865003720677,0.0216179362216375,0.1,1.0000000000000002,20,steady,reconstructed_pit_proxy
2025-10-30,2025-09-30,equal_weight_eligible,0.0240674872591423,0.0001247860943439,0.0239427011647983,0.0247252747252747,1.0,358,steady,reconstructed_pit_proxy
2025-10-30,2025-09-30,cap_weight_eligible,0.0217436710432377,0.000208437893289,0.0215352331499486,0.0428879928590073,1.0,358,steady,reconstructed_pit_proxy
2025-11-30,2025-10-31,wolf_cvar,0.0343824297323601,0.0007930409414643,0.0335893887908958,0.1,1.0,24,steady,reconstructed_pit_proxy
