strategy,year,return
current_portfolio,1997,0.1967618741924302
current_portfolio,1998,0.29524708688397916
current_portfolio,1999,0.13135470302150165
current_portfolio,2000,0.06868672734739145
current_portfolio,2001,-0.07995892927451842
current_portfolio,2002,-0.09037410188188799
current_portfolio,2003,0.4174144533514763
current_portfolio,2004,0.013175946873617006
current_portfolio,2005,0.09668900802330649
current_portfolio,2006,0.30635337997114886
current_portfolio,2007,0.556411044381057
current_portfolio,2008,-0.3391723196534777
current_portfolio,2009,0.5611275700245599
current_portfolio,2010,0.09426784152076895
current_portfolio,2011,0.016597934086800548
current_portfolio,2012,0.3216946695151812
current_portfolio,2013,0.3016845654276221
current_portfolio,2014,0.06700044962797502
current_portfolio,2015,0.028334333326573535
current_portfolio,2016,0.06148272357767026
current_portfolio,2017,0.33026751259132725
current_portfolio,2018,-0.037581101938743644
current_portfolio,2019,0.39429915280543293
current_portfolio,2020,0.2483819130844267
current_portfolio,2021,0.20684106819762715
current_portfolio,2022,-0.1672979914890914
current_portfolio,2023,0.24475445762781112
current_portfolio,2024,-0.03728475134970266
current_portfolio,2025,0.31680959481184856
current_portfolio,2026,0.1868378990023365
portfolio_aware_overlay,1997,0.1638315009230027
portfolio_aware_overlay,1998,0.2328403565943753
portfolio_aware_overlay,1999,0.10755292790382609
portfolio_aware_overlay,2000,0.08101737074185267
portfolio_aware_overlay,2001,-0.07058108368751759
portfolio_aware_overlay,2002,-0.08500860988284498
portfolio_aware_overlay,2003,0.3079444551454742
portfolio_aware_overlay,2004,0.02081677589051978
portfolio_aware_overlay,2005,0.09521030159477029
portfolio_aware_overlay,2006,0.3390223273365558
portfolio_aware_overlay,2007,0.49716438533361984
portfolio_aware_overlay,2008,-0.33016849896900524
portfolio_aware_overlay,2009,0.5534994703602827
portfolio_aware_overlay,2010,0.06946322705942731
portfolio_aware_overlay,2011,0.009008850331260643
portfolio_aware_overlay,2012,0.2753080821821814
portfolio_aware_overlay,2013,0.24634946653332768
portfolio_aware_overlay,2014,0.10381265419756058
portfolio_aware_overlay,2015,0.02985482263188044
portfolio_aware_overlay,2016,0.07080880275355272
portfolio_aware_overlay,2017,0.36823118210393413
portfolio_aware_overlay,2018,-0.04800272532173866
portfolio_aware_overlay,2019,0.34167388909737917
portfolio_aware_overlay,2020,0.2079769652147463
portfolio_aware_overlay,2021,0.12007784462453253
portfolio_aware_overlay,2022,-0.13507067564471575
portfolio_aware_overlay,2023,0.18591850324208603
portfolio_aware_overlay,2024,0.0735674759782623
portfolio_aware_overlay,2025,0.2943014418445955
portfolio_aware_overlay,2026,0.16049580520551365
clean_sheet,1997,0.1451358866247865
clean_sheet,1998,0.020618204222446757
clean_sheet,1999,0.08170365906587129
clean_sheet,2000,0.10639455960661914
clean_sheet,2001,-0.04527293489489548
clean_sheet,2002,-0.08524813027236144
clean_sheet,2003,0.13140856916581667
clean_sheet,2004,0.04728224776248724
clean_sheet,2005,0.09224702168924215
clean_sheet,2006,0.45213213820382614
clean_sheet,2007,0.45994360272834234
clean_sheet,2008,-0.21583945577849095
clean_sheet,2009,0.3381805602610166
clean_sheet,2010,0.054912718428849816
clean_sheet,2011,-0.018630795740962047
clean_sheet,2012,0.1327334828770974
clean_sheet,2013,0.10254333472992827
clean_sheet,2014,0.12178625426008893
clean_sheet,2015,0.11984413042954833
clean_sheet,2016,0.044982126994225435
clean_sheet,2017,0.29579202200917387
clean_sheet,2018,-0.09554593322407101
clean_sheet,2019,0.16896089547046644
clean_sheet,2020,0.01191656142205666
clean_sheet,2021,0.02945705469360904
clean_sheet,2022,-0.019279996481926798
clean_sheet,2023,0.06817242013092129
clean_sheet,2024,0.2137036326080557
clean_sheet,2025,0.10262627847970296
clean_sheet,2026,0.055433974933916774
llm_benchmark,1997,0.04362551235305201
llm_benchmark,1998,0.10620665298490017
llm_benchmark,1999,0.1380125124070699
llm_benchmark,2000,0.06357168360460852
llm_benchmark,2001,0.03499721339496742
llm_benchmark,2002,0.022820663908152516
llm_benchmark,2003,0.11158723650514202
llm_benchmark,2004,0.08920626808909105
llm_benchmark,2005,0.082505739487851
llm_benchmark,2006,0.23924724734340774
llm_benchmark,2007,0.22773555020703995
llm_benchmark,2008,-0.16407565969031213
llm_benchmark,2009,0.42342003634369285
llm_benchmark,2010,0.18945365489389188
llm_benchmark,2011,-0.06000278463898567
llm_benchmark,2012,0.08017548602679314
llm_benchmark,2013,0.14167604899293607
llm_benchmark,2014,0.09578108317710843
llm_benchmark,2015,0.19322427755834037
llm_benchmark,2016,-0.026848543874722353
llm_benchmark,2017,0.19677814504609503
llm_benchmark,2018,-0.06676353683062375
llm_benchmark,2019,0.1725934458777083
llm_benchmark,2020,0.1708188551006058
llm_benchmark,2021,0.1139847353595056
llm_benchmark,2022,-0.09449468170659037
llm_benchmark,2023,0.1778407153014303
llm_benchmark,2024,0.16229654522531556
llm_benchmark,2025,0.08231955760173948
llm_benchmark,2026,0.030649185316141914
optimised_cvar_constrained,1997,0.18567533904721878
optimised_cvar_constrained,1998,0.13947881798907535
optimised_cvar_constrained,1999,0.039615608127879565
optimised_cvar_constrained,2000,0.06257205291828805
optimised_cvar_constrained,2001,-0.08731033823544276
optimised_cvar_constrained,2002,-0.05719459499680235
optimised_cvar_constrained,2003,0.2377327745329496
optimised_cvar_constrained,2004,0.11056660395554041
optimised_cvar_constrained,2005,0.09604555114111113
optimised_cvar_constrained,2006,0.41819360607765677
optimised_cvar_constrained,2007,0.18158608320185654
optimised_cvar_constrained,2008,-0.22121512883355987
optimised_cvar_constrained,2009,0.3486641703373641
optimised_cvar_constrained,2010,0.0545152285653594
optimised_cvar_constrained,2011,-0.037019953511197023
optimised_cvar_constrained,2012,0.17130439806192865
optimised_cvar_constrained,2013,0.24934474322455413
optimised_cvar_constrained,2014,0.1340879559493977
optimised_cvar_constrained,2015,0.044938451488466535
optimised_cvar_constrained,2016,0.01372235866461824
optimised_cvar_constrained,2017,0.2953285250867721
optimised_cvar_constrained,2018,-0.07991031895215017
optimised_cvar_constrained,2019,0.20220494302481695
optimised_cvar_constrained,2020,0.040244914843609925
optimised_cvar_constrained,2021,0.07441786592117472
optimised_cvar_constrained,2022,-0.05921079999338663
optimised_cvar_constrained,2023,0.09462246352507075
optimised_cvar_constrained,2024,0.15950561186961987
optimised_cvar_constrained,2025,0.19546897426485943
optimised_cvar_constrained,2026,0.10950650747271995
optimised_dividend_income,1997,0.141806958992174
optimised_dividend_income,1998,0.0193440210203486
optimised_dividend_income,1999,0.06927201301301067
optimised_dividend_income,2000,0.08285806010911245
optimised_dividend_income,2001,-0.0548409838155709
optimised_dividend_income,2002,-0.038687403072612314
optimised_dividend_income,2003,0.17179090782736073
optimised_dividend_income,2004,0.09462726626358053
optimised_dividend_income,2005,0.05642464023443794
optimised_dividend_income,2006,0.4047151028480416
optimised_dividend_income,2007,0.3747293768594526
optimised_dividend_income,2008,-0.33651648203299034
optimised_dividend_income,2009,0.6314006682353037
optimised_dividend_income,2010,0.14009167309032122
optimised_dividend_income,2011,-0.08173046159563357
optimised_dividend_income,2012,0.1519896069111215
optimised_dividend_income,2013,0.18694099526495767
optimised_dividend_income,2014,0.211948331034842
optimised_dividend_income,2015,0.12524354965809814
optimised_dividend_income,2016,0.08068467364486231
optimised_dividend_income,2017,0.3061162043821597
optimised_dividend_income,2018,-0.07468192393886575
optimised_dividend_income,2019,0.18940803783379812
optimised_dividend_income,2020,0.0033599927183813882
optimised_dividend_income,2021,0.12471075985376068
optimised_dividend_income,2022,-0.008965552417761868
optimised_dividend_income,2023,0.018187902071333806
optimised_dividend_income,2024,0.2328972024199647
optimised_dividend_income,2025,0.1855321461951207
optimised_dividend_income,2026,0.08894290552470774
optimised_mean_variance,1997,0.1475502323735629
optimised_mean_variance,1998,0.10977509477098923
optimised_mean_variance,1999,0.07326725652937283
optimised_mean_variance,2000,0.05220034186068756
optimised_mean_variance,2001,-0.04639741239430739
optimised_mean_variance,2002,-0.03616836120474343
optimised_mean_variance,2003,0.1654189494892213
optimised_mean_variance,2004,0.10626123065383775
optimised_mean_variance,2005,0.09932508922027594
optimised_mean_variance,2006,0.3471751538673784
optimised_mean_variance,2007,0.18359593341424008
optimised_mean_variance,2008,-0.23162525175490156
optimised_mean_variance,2009,0.3835740773884988
optimised_mean_variance,2010,0.03954174906021968
optimised_mean_variance,2011,0.013265317428108325
optimised_mean_variance,2012,0.15157362656639672
optimised_mean_variance,2013,0.1656645925107143
optimised_mean_variance,2014,0.17436532812148142
optimised_mean_variance,2015,0.030359350151839992
optimised_mean_variance,2016,0.035511270676576334
optimised_mean_variance,2017,0.2997048704351888
optimised_mean_variance,2018,-0.07691540416947684
optimised_mean_variance,2019,0.1696970410302021
optimised_mean_variance,2020,0.037999662926631705
optimised_mean_variance,2021,0.06160078985986672
optimised_mean_variance,2022,-0.0505738598369575
optimised_mean_variance,2023,0.08038495753619501
optimised_mean_variance,2024,0.15909071810379172
optimised_mean_variance,2025,0.16632148505787603
optimised_mean_variance,2026,0.12947420735859172
optimised_regime_aware,1997,0.20506712539111205
optimised_regime_aware,1998,0.0958538865710945
optimised_regime_aware,1999,0.05369580067885171
optimised_regime_aware,2000,0.08595125383876256
optimised_regime_aware,2001,-0.07593799635549692
optimised_regime_aware,2002,-0.12154291022217012
optimised_regime_aware,2003,0.18480989512201007
optimised_regime_aware,2004,0.03398348275016305
optimised_regime_aware,2005,0.05017511347563053
optimised_regime_aware,2006,0.4114575747252396
optimised_regime_aware,2007,0.33347590793357207
optimised_regime_aware,2008,-0.29936602096168674
optimised_regime_aware,2009,0.49903536964611894
optimised_regime_aware,2010,0.11043606233028824
optimised_regime_aware,2011,-0.014613185547746488
optimised_regime_aware,2012,0.11646635242546921
optimised_regime_aware,2013,0.1855258085376006
optimised_regime_aware,2014,0.20623022276153002
optimised_regime_aware,2015,0.1170757281240189
optimised_regime_aware,2016,0.0664016750004206
optimised_regime_aware,2017,0.3585871398667171
optimised_regime_aware,2018,-0.07786548847010377
optimised_regime_aware,2019,0.23473605198304281
optimised_regime_aware,2020,0.03366450780825003
optimised_regime_aware,2021,0.07514576014574992
optimised_regime_aware,2022,0.007653895731290383
optimised_regime_aware,2023,0.021103090898386023
optimised_regime_aware,2024,0.24020050017204864
optimised_regime_aware,2025,0.17510565009087942
optimised_regime_aware,2026,0.10167894244106512
optimised_risk_parity,1997,0.12696333070734922
optimised_risk_parity,1998,0.1922499061300511
optimised_risk_parity,1999,0.02067006605093158
optimised_risk_parity,2000,0.09750687308173434
optimised_risk_parity,2001,-0.06417558184848005
optimised_risk_parity,2002,0.03380754222481497
optimised_risk_parity,2003,0.2065586855493735
optimised_risk_parity,2004,0.22283634577172418
optimised_risk_parity,2005,0.11260018822472717
optimised_risk_parity,2006,0.38090093381110024
optimised_risk_parity,2007,0.11056586380318056
optimised_risk_parity,2008,-0.17861922414962939
optimised_risk_parity,2009,0.3888097268436468
optimised_risk_parity,2010,0.12451073860921946
optimised_risk_parity,2011,-0.017236196523450875
optimised_risk_parity,2012,0.17439058909860417
optimised_risk_parity,2013,0.2720362051818148
optimised_risk_parity,2014,0.1621452489035795
optimised_risk_parity,2015,0.040187579516523186
optimised_risk_parity,2016,0.06016657464979991
optimised_risk_parity,2017,0.26865165591391116
optimised_risk_parity,2018,-0.08591612157165796
optimised_risk_parity,2019,0.2435428332149141
optimised_risk_parity,2020,0.08016837288217005
optimised_risk_parity,2021,0.0730834355240555
optimised_risk_parity,2022,-0.06941591405627479
optimised_risk_parity,2023,0.07814437567292476
optimised_risk_parity,2024,0.13909894511420218
optimised_risk_parity,2025,0.1700968717656326
optimised_risk_parity,2026,0.06603152199748141
optimised_score_weighted,1997,0.1961126704558651
optimised_score_weighted,1998,0.09091722973152017
optimised_score_weighted,1999,0.0746137548207002
optimised_score_weighted,2000,0.10374592122404058
optimised_score_weighted,2001,-0.05358207703217199
optimised_score_weighted,2002,-0.09250001911380357
optimised_score_weighted,2003,0.14394573032397728
optimised_score_weighted,2004,0.05818404335806249
optimised_score_weighted,2005,0.07247153670583817
optimised_score_weighted,2006,0.4283330800759997
optimised_score_weighted,2007,0.3401357930856499
optimised_score_weighted,2008,-0.2879488757941452
optimised_score_weighted,2009,0.5024589209631964
optimised_score_weighted,2010,0.12026155522419013
optimised_score_weighted,2011,-0.019259288420400256
optimised_score_weighted,2012,0.11632503396583171
optimised_score_weighted,2013,0.18366656187994623
optimised_score_weighted,2014,0.16212359837879564
optimised_score_weighted,2015,0.042097731630057034
optimised_score_weighted,2016,0.091549228756449
optimised_score_weighted,2017,0.3551528364972334
optimised_score_weighted,2018,-0.06602419648652158
optimised_score_weighted,2019,0.2433086547243657
optimised_score_weighted,2020,0.05589498854566566
optimised_score_weighted,2021,0.06052599818333815
optimised_score_weighted,2022,-0.007707251509325386
optimised_score_weighted,2023,0.02120386027333865
optimised_score_weighted,2024,0.23308325234546157
