strategy,observations,annualised_sharpe,probabilistic_sharpe_ratio,minimum_track_record_months,track_record_sufficient,one_sided_p_value,familywise_method,familywise_alpha,sidak_per_trial_alpha,sidak_significant,trial_count,effective_clustered_trials,expected_maximum_monthly_sharpe,clustered_expected_maximum_monthly_sharpe,deflated_sharpe_ratio,cluster_adjusted_deflated_sharpe_ratio
current_portfolio,354,0.7465129993196734,0.9999449778546486,64.8575329106205,True,5.502214535135774e-05,Sidak,0.05,0.0036571031913835705,True,14,4,0.05638396986638029,0.034124024657411045,0.9978512258615856,0.9994328875836014
portfolio_aware_overlay,354,0.7712387885118303,0.9999590196154885,62.56685557121734,True,4.098038451150199e-05,Sidak,0.05,0.0036571031913835705,True,14,4,0.05638396986638029,0.034124024657411045,0.9983648935058592,0.9995733776042435
clean_sheet,354,0.6114076413067481,0.9993969473449015,92.12295907338927,True,0.0006030526550985238,Sidak,0.05,0.0036571031913835705,True,14,4,0.05638396986638029,0.034124024657411045,0.9862098405614813,0.9954928276799525
llm_benchmark,354,0.6341933115665779,0.9996623797032507,83.6446085391662,True,0.00033762029674933025,Sidak,0.05,0.0036571031913835705,True,14,4,0.05638396986638029,0.034124024657411045,0.9906755337990371,0.9971609067906504
optimised_cvar_constrained,354,0.5942075414122018,0.9991244085794173,98.51825582198849,True,0.0008755914205826887,Sidak,0.05,0.0036571031913835705,True,14,4,0.05638396986638029,0.034124024657411045,0.9821706236612882,0.9939104425053508
optimised_dividend_income,354,0.5941296563287186,0.9992319299108616,96.1749081366376,True,0.0007680700891383729,Sidak,0.05,0.0036571031913835705,True,14,4,0.05638396986638029,0.034124024657411045,0.9832636033636973,0.9944176845336414
optimised_mean_variance,354,0.6060702478449351,0.9993165662553632,94.17654056069341,True,0.0006834337446367522,Sidak,0.05,0.0036571031913835705,True,14,4,0.05638396986638029,0.034124024657411045,0.9849883737392023,0.995018628326592
optimised_regime_aware,354,0.6123135594384368,0.9995811488963777,86.61093550413402,True,0.0004188511036222753,Sidak,0.05,0.0036571031913835705,True,14,4,0.05638396986638029,0.034124024657411045,0.9885351311388066,0.9964829356409277
optimised_risk_parity,354,0.7382100561353743,0.9999340565255911,66.34938500909942,True,6.59434744089138e-05,Sidak,0.05,0.0036571031913835705,True,14,4,0.05638396986638029,0.034124024657411045,0.9975338429890089,0.9993380509054492
optimised_score_weighted,354,0.6182924249933902,0.9995958709395103,86.10445007159682,True,0.00040412906048969965,Sidak,0.05,0.0036571031913835705,True,14,4,0.05638396986638029,0.034124024657411045,0.9890383740629679,0.9966306238528633
final_portfolio,354,0.5754911467377333,0.9988341141978078,104.04754693953149,True,0.0011658858021922347,Sidak,0.05,0.0036571031913835705,True,14,4,0.05638396986638029,0.034124024657411045,0.9778432487022906,0.9922190265042632
drl_baseline,354,0.5754911467377329,0.9988341141978078,104.0475469395316,True,0.0011658858021922347,Sidak,0.05,0.0036571031913835705,True,14,4,0.05638396986638029,0.034124024657411045,0.9778432487022904,0.9922190265042632
drl_challenger_raw,354,0.5742098310976638,0.9988069396464606,104.5188129886072,True,0.001193060353539388,Sidak,0.05,0.0036571031913835705,True,14,4,0.05638396986638029,0.034124024657411045,0.977477276678899,0.9920700885741153
trend_risk_controlled_indices,354,0.29664066663908717,0.9387001158552625,401.6463419827269,False,0.061299884144737526,Sidak,0.05,0.0036571031913835705,False,14,4,0.05638396986638029,0.034124024657411045,0.7010260996161528,0.8234774879814105
