dataset,row_count,entity_count,earliest_observation,latest_observation,earliest_available_from,latest_available_from
fundamental_vintages,8962,6357,2002-03-31,2022-03-31,2021-08-31 00:00:00.000000,2021-08-31 00:00:00.000000
corporate_action_vintages,121142,7322,1986-01-01,2027-01-15,1986-01-01 00:00:00.000000,2026-08-13 00:00:00.000000
market_cap_vintages,662723,7834,2018-07-31,2026-07-31,2018-07-31 00:00:00.000000,2026-07-31 00:00:00.000000
identifier_vintages,32847,7860,2026-08-13,2026-08-13,2026-08-13 09:28:42.678891,2026-08-13 09:28:42.678891
macro_release_vintages,112138,21,1994-01-01,2026-08-12,1994-01-01 00:00:00.000000,2026-08-12 00:00:00.000000
sentiment_vintages,0,0,,,,
decision_snapshot_manifests,60,60,2021-07-31,2026-06-30,2026-08-13 09:28:09.035714,2026-08-13 09:28:09.035714
