ticker,baseline_weight,drl_target_weight,weight_change,material_change_flag,explanation
000333.SHE,0.05000000000000002,0.04750000000000001,-0.002500000000000009,True,"Negative overlay: volatility, CVaR, drawdown, dividend-cut or exclusion risk reduced weight."
ALV.XETRA,0.05000000000000002,0.04750000000000001,-0.002500000000000009,True,"Negative overlay: volatility, CVaR, drawdown, dividend-cut or exclusion risk reduced weight."
601398.SHG,0.0,0.0,0.0,False,No material DRL overlay change after projection.
601816.SHG,0.05000000000000002,0.04750000000000001,-0.002500000000000009,True,"Negative overlay: volatility, CVaR, drawdown, dividend-cut or exclusion risk reduced weight."
600036.SHG,0.05000000000000002,0.04750000000000001,-0.002500000000000009,True,"Negative overlay: volatility, CVaR, drawdown, dividend-cut or exclusion risk reduced weight."
NOVN.SW,0.05000000000000002,0.04750000000000001,-0.002500000000000009,True,"Negative overlay: volatility, CVaR, drawdown, dividend-cut or exclusion risk reduced weight."
AD.AS,0.05000000000000002,0.04750000000000001,-0.002500000000000009,True,"Negative overlay: volatility, CVaR, drawdown, dividend-cut or exclusion risk reduced weight."
0939.HK,0.0,0.0,0.0,False,No material DRL overlay change after projection.
PG.US,0.05000000000000002,0.04750000000000001,-0.002500000000000009,True,"Negative overlay: volatility, CVaR, drawdown, dividend-cut or exclusion risk reduced weight."
600919.SHG,0.0,0.0,0.0,False,No material DRL overlay change after projection.
601728.SHG,0.0,0.0,0.0,False,No material DRL overlay change after projection.
PRU.US,0.0,0.0,0.0,False,No material DRL overlay change after projection.
1113.HK,0.0,0.0,0.0,False,No material DRL overlay change after projection.
2318.HK,0.0,0.0,0.0,False,No material DRL overlay change after projection.
2328.HK,0.0,0.0,0.0,False,No material DRL overlay change after projection.
1919.HK,0.0,0.0,0.0,False,No material DRL overlay change after projection.
1288.HK,0.0,0.0,0.0,False,No material DRL overlay change after projection.
HNR1.XETRA,0.0,0.0,0.0,False,No material DRL overlay change after projection.
AIG.US,0.0,0.0,0.0,False,No material DRL overlay change after projection.
ALL.US,0.0,0.0,0.0,False,No material DRL overlay change after projection.
BMY.US,0.0,0.0,0.0,False,No material DRL overlay change after projection.
ADP.US,0.0,0.0,0.0,False,No material DRL overlay change after projection.
SHEL.LSE,0.0,0.0,0.0,False,No material DRL overlay change after projection.
MET.US,0.0,0.0,0.0,False,No material DRL overlay change after projection.
NVS.US,0.0,0.0,0.0,False,No material DRL overlay change after projection.
