date,baseline_return,gross_return,net_return,active_return,transaction_cost,incremental_turnover,drawdown,expected_cvar,active_return_component,transaction_cost_penalty,turnover_penalty,drawdown_penalty,tail_risk_penalty,volatility_penalty,constraint_violations,overlay_json,reward,algorithm,split
2019-12-31,-0.0355851222417347,-0.03447540648432466,-0.034513388515728875,0.0010717337260058232,3.7982031404220665e-05,0.019990542844326664,-0.03451338851572883,-0.009066614674832428,0.10717337260058232,0.0009495507851055166,0.0009995271422163332,0.0,0.0,0.0,0,"{""US"": 0.004299726985420138, ""UK"": 0.0033009235509578183, ""DACH"": 0.004019956866925828, ""EU ex-DACH"": 0.004046942001753456, ""Mainland China"": -0.009992368673771818, ""Hong Kong"": -0.009998174170554847}",0.10522429467326047,contextual_bandit,validation
2020-01-31,-0.0672942430565046,-0.06822142998045275,-0.0682225516698127,-0.0009283086133081014,1.1216893599518677e-06,0.0005903628210272988,-0.10038134875422688,-0.01810525819070815,-0.09283086133081014,2.8042233998796692e-05,2.951814105136494e-05,0.00028601156567015923,0.03644510333962539,0.0,0,"{""US"": 0.003918782889780759, ""UK"": 0.003891286371985117, ""DACH"": 0.003928112074446738, ""EU ex-DACH"": 0.003929368068844863, ""Mainland China"": -0.009992368673771818, ""Hong Kong"": -0.009998174170554847}",-0.12961953661115586,contextual_bandit,validation
2020-02-29,-0.05180676939894427,-0.05183590464356358,-0.05186238945585627,-5.562005691200217e-05,2.6484812292693526e-05,0.01393937489089133,-0.14703772160688733,-0.04751240843331585,-0.005562005691200217,0.0006621203073173381,0.0006969687445445666,0.03527829120516549,0.003724778911712537,0.0,0,"{""US"": 0.003918782889780759, ""UK"": -0.007688463751044462, ""DACH"": 0.003928112074446738, ""EU ex-DACH"": 0.0015697433009831119, ""Mainland China"": -0.00564728057843001, ""Hong Kong"": -0.006351187159786886}",-0.04592416485994015,contextual_bandit,validation
2020-03-31,0.04276840528404655,0.04313221301396695,0.04310611429380738,0.00033770900976082957,2.6098720159567688e-05,0.013736168505035624,-0.11026983214616748,-0.27617094887111393,0.03377090097608296,0.0006524680039891922,0.0006868084252517813,0.007702374109625605,0.006542737217778483,0.0,0,"{""US"": 0.003918782889780759, ""UK"": -0.007688463751044462, ""DACH"": -0.005637207143756984, ""EU ex-DACH"": 0.0015697433009831119, ""Mainland China"": 0.008088887926605615, ""Hong Kong"": -0.006351187159786886}",0.018186513219437893,contextual_bandit,validation
2020-04-30,0.01606791837082608,0.015441856681957652,0.015430089785303792,-0.0006378285855222869,1.1766896653860177e-05,0.006193103502031672,-0.09654121577148955,-0.2300842528381255,-0.06378285855222869,0.0002941724163465044,0.0003096551751015836,0.0,0.0,0.0,0,"{""US"": 0.003918782889780759, ""UK"": -0.007688463751044462, ""DACH"": -0.005637207143756984, ""EU ex-DACH"": -0.00462336020104856, ""Mainland China"": 0.008088887926605615, ""Hong Kong"": -0.0037681322749744117}",-0.06438668614367678,contextual_bandit,validation
2020-05-31,0.022594668859288392,0.022091096152546324,0.022091096152546324,-0.0005035727067420684,0.0,0.0,-0.07658282089923496,-0.25864320218408793,-0.05035727067420684,0.0,0.0,0.0,0.002160800546021982,0.0,0,"{""US"": 0.003918782889780759, ""UK"": -0.007688463751044462, ""DACH"": -0.005637207143756984, ""EU ex-DACH"": -0.00462336020104856, ""Mainland China"": 0.008088887926605615, ""Hong Kong"": -0.0037681322749744117}",-0.05251807122022882,contextual_bandit,validation
2020-06-30,0.006192947721319216,0.006497663150820015,0.006479285585770607,0.0002863378644513909,1.8377565049408197e-05,0.009672402657583262,-0.0705997372810343,-0.25689481637035266,0.02863378644513909,0.0004594391262352049,0.0004836201328791631,0.0,0.0017237040925881658,0.0,0,"{""US"": 0.0021319043175618557, ""UK"": -0.007688463751044462, ""DACH"": -0.0006437978484590268, ""EU ex-DACH"": 5.5633161236745554e-05, ""Mainland China"": 0.004400533425818143, ""Hong Kong"": -0.0037681322749744117}",0.025967023093436556,contextual_bandit,validation
2020-07-31,0.014542594354041722,0.015149711958758676,0.015140834142733308,0.0005982397886915864,8.877816025368092e-06,0.0046725347501937325,-0.056527842050993704,-0.27523330135596336,0.05982397886915864,0.0002219454006342023,0.00023362673750968664,0.0,0.006308325338990839,0.0,0,"{""US"": 0.001997676063166018, ""UK"": -0.007688463751044462, ""DACH"": -0.0006437978484590268, ""EU ex-DACH"": -0.00213336093498534, ""Mainland China"": 0.008168755228389474, ""Hong Kong"": -0.006117444674550221}",0.053060081392023915,contextual_bandit,validation
2020-08-31,-0.006872235556678206,-0.007252553215693111,-0.007264814566431619,-0.000392579009753413,1.2261350738507992e-05,0.006453342493951575,-0.0633819923270843,-0.26137651949842106,-0.039257900975341306,0.0003065337684626998,0.00032266712469757877,0.0,0.002844129874605264,0.0,0,"{""US"": 0.001997676063166018, ""UK"": -0.009823568451101834, ""DACH"": -0.0006437978484590268, ""EU ex-DACH"": -0.006451598728879543, ""Mainland China"": 0.008168755228389474, ""Hong Kong"": -0.006117444674550221}",-0.04273123174310685,contextual_bandit,validation
2020-09-30,-0.010941469841924522,-0.009872793850423413,-0.009879151778539966,0.0010623180633845559,6.3579281165532155e-06,0.00334627795608064,-0.07263498378339872,-0.25939318003932393,0.10623180633845558,0.0001589482029138304,0.000167313897804032,0.0,0.0023482950098309835,0.0,0,"{""US"": -0.0012226315042645902, ""UK"": -0.009823568451101834, ""DACH"": -0.0006437978484590268, ""EU ex-DACH"": -0.006451598728879543, ""Mainland China"": 0.008042784839739442, ""Hong Kong"": -0.006117444674550221}",0.10355724922790674,contextual_bandit,validation
2020-10-31,0.09034549737281317,0.0890615020652438,0.08903873334007172,-0.0013067640327414504,2.2768725172081424e-05,0.011983539564253382,0.0,-0.26365913580037836,-0.13067640327414504,0.0005692181293020356,0.0005991769782126692,0.0,0.003414783950094591,0.0,0,"{""US"": 0.000519466478942951, ""UK"": -0.009823568451101834, ""DACH"": -0.005966551835590916, ""EU ex-DACH"": -0.003696190792629117, ""Mainland China"": 0.00138199926261795, ""Hong Kong"": -0.0011130617978064306}",-0.1352595823317543,contextual_bandit,validation
2020-11-30,0.0020910636741545588,0.0021174498908179437,0.002113837105908978,2.2773431754419347e-05,3.612784908965712e-06,0.001901465741560901,0.0,-0.27006730119006483,0.0022773431754419347,9.03196227241428e-05,9.507328707804505e-05,0.0,0.005016825297516209,0.0,0,"{""US"": 0.0, ""UK"": -0.009823568451101834, ""DACH"": -0.005966551835590916, ""EU ex-DACH"": -0.003696190792629117, ""Mainland China"": 0.0, ""Hong Kong"": -0.0011130617978064306}",-0.002924875031876462,contextual_bandit,validation
2020-12-31,-0.006064215811557988,-0.005992818962069133,-0.005992818962069133,7.139684948885474e-05,0.0,0.0,-0.005992818962069046,-0.26488011028274433,0.007139684948885474,0.0,0.0,0.0,0.0037200275706860825,0.0,0,"{""US"": 0.0, ""UK"": -0.009823568451101834, ""DACH"": -0.005966551835590916, ""EU ex-DACH"": -0.003696190792629117, ""Mainland China"": 0.0, ""Hong Kong"": -0.0011130617978064306}",0.0034196573781993915,contextual_bandit,validation
