model_name,model_type,target,horizon,feature_set,training_start_date,training_end_date,validation_start_date,validation_end_date,metrics,model_version,created_at
wolf_deterministic_distribution_forecaster,deterministic_mock_baseline,forward_total_return_3m,3,quality_income_valuation_risk_liquidity_sentiment_narrative_regime_portfolio,,,,,"{""bottom_decile_forward_return"": 0.0, ""calibration_error"": 0.026962675164763143, ""crps_proxy"": 0.0594062716016991, ""directional_accuracy"": 0.0, ""hit_ratio"": 0.0, ""log_predictive_score_proxy"": 0.057367558516808324, ""mae"": 0.0594062716016991, ""pit_uniformity_proxy"": 0.5, ""quantile_coverage"": 0.9, ""r2"": -6013839060.663119, ""rank_ic"": 0.0, ""rmse"": 0.06547071220451728, ""spearman_rank_correlation"": 0.0, ""top_decile_forward_return"": 0.0, ""var_5_exceedance_rate_proxy"": 0.0}",v0.1-mock,2026-08-19
wolf_deterministic_distribution_forecaster,deterministic_mock_baseline,forward_total_return_6m,6,quality_income_valuation_risk_liquidity_sentiment_narrative_regime_portfolio,,,,,"{""bottom_decile_forward_return"": 0.0, ""calibration_error"": 0.053925350329526285, ""crps_proxy"": 0.1188125432033982, ""directional_accuracy"": 0.0, ""hit_ratio"": 0.0, ""log_predictive_score_proxy"": 0.11103123852720959, ""mae"": 0.1188125432033982, ""pit_uniformity_proxy"": 0.5, ""quantile_coverage"": 0.9, ""r2"": -24055356245.652477, ""rank_ic"": 0.0, ""rmse"": 0.13094142440903456, ""spearman_rank_correlation"": 0.0, ""top_decile_forward_return"": 0.0, ""var_5_exceedance_rate_proxy"": 0.0}",v0.1-mock,2026-08-19
wolf_deterministic_distribution_forecaster,deterministic_mock_baseline,forward_total_return_9m,9,quality_income_valuation_risk_liquidity_sentiment_narrative_regime_portfolio,,,,,"{""bottom_decile_forward_return"": 0.0, ""calibration_error"": 0.08088802549428943, ""crps_proxy"": 0.1782188148050973, ""directional_accuracy"": 0.0, ""hit_ratio"": 0.0, ""log_predictive_score_proxy"": 0.16146762565797873, ""mae"": 0.1782188148050973, ""pit_uniformity_proxy"": 0.5, ""quantile_coverage"": 0.9, ""r2"": -54124551553.96808, ""rank_ic"": 0.0, ""rmse"": 0.19641213661355186, ""spearman_rank_correlation"": 0.0, ""top_decile_forward_return"": 0.0, ""var_5_exceedance_rate_proxy"": 0.0}",v0.1-mock,2026-08-19
wolf_deterministic_distribution_forecaster,deterministic_mock_baseline,forward_total_return_12m,12,quality_income_valuation_risk_liquidity_sentiment_narrative_regime_portfolio,,,,,"{""bottom_decile_forward_return"": 0.0, ""calibration_error"": 0.1078160606020319, ""crps_proxy"": 0.23759472290002523, ""directional_accuracy"": 0.0, ""hit_ratio"": 0.0, ""log_predictive_score_proxy"": 0.20903898973806365, ""mae"": 0.23759472290002523, ""pit_uniformity_proxy"": 0.5, ""quantile_coverage"": 0.9, ""r2"": -96203503850.28937, ""rank_ic"": 0.0, ""rmse"": 0.2618584599851225, ""spearman_rank_correlation"": 0.0, ""top_decile_forward_return"": 0.0, ""var_5_exceedance_rate_proxy"": 0.0}",v0.1-mock,2026-08-19
