security_id,ticker,issuer_id,company_name,country,region,sector,currency,industry,current_weight,current_market_value_usd,final_recommendation,final_recommendation_score,scorecard_score,portfolio_fit_score,regime_suitability_score,sentiment_alt_data_score,narrative_reframing_score,expected_total_return_12m,expected_dividend_return_12m,expected_volatility_12m,p5_return_12m,p50_return_12m,p95_return_12m,var_5_12m,cvar_5_12m,expected_shortfall_5_12m,dividend_cut_probability,large_drawdown_probability_12m,tail_risk_score,skewness_risk_score,forecast_uncertainty_score,liquidity_score,average_daily_value_usd,liquidity_observation_count,market_cap_usd,dividend_yield,free_cash_flow_yield,balance_sheet_strength_score,cashflow_quality_score,dividend_safety_score,regime_review_required_flag,regime_exclusion_flag,reframing_review_required_flag,reframing_exclusion_flag,alt_data_review_required_flag,alt_data_exclusion_flag,price_data_quality_score,price_data_exclusion_flag,sector_data_source,liquidity_data_source,market_cap_data_source,fundamentals_data_source,is_synthetic_data,is_synthetic_fundamentals,instrument_type,listing_status,risk_management_flags,target_weight,portfolio_method,eligible_for_optimisation,fallback_eligibility_used,optimisation_feasible,optimisation_status,eligible_security_count,candidate_security_count,baseline_weight,eligible_for_drl,accepted_target_weight,acceptance_selected_weights_source,raw_drl_weight,projected_drl_weight,selected_weight,selected_weights_source
000333.SHE,000333.SHE,NAME:mideagroupcoltd,Midea Group Co Ltd,China,Mainland China,Consumer Discretionary,CNY,"Furnishings, Fixtures & Appliances",0.0,0.0,Hold,70.64707669691002,70.64707669691002,91.50838243426061,72.33369707736512,52.77083333333333,84.07541813822725,0.35,0.0504,0.1898108212580659,-0.13917214480377849,0.35,0.7690006288669202,0.007329256960307229,-0.059104530480015835,-0.059104530480015835,0.295166429618148,0.2682521114999183,8.443504354287978,46.84574369096777,32.19629883359243,88.87303851640513,457035391.3178432,60,94144678368.21568,0.0504,0.06626007797336021,94.78087851272029,64.82944938448617,68.29395415216203,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;,0.04614965421286592,constrained_regime_gated_drl,True,False,True,optimal,142,140,0.05000000000000002,True,0.05000000000000002,baseline_optimiser,0.044283651661400227,0.04614965421286592,0.05000000000000002,baseline_optimiser
ALV.XETRA,ALV.XETRA,NAME:allianzsevnaon,Allianz SE VNA O.N.,Germany,DACH,Financials,EUR,Insurance - Diversified,0.0,0.0,Hold,68.89547209285382,68.89547209285382,79.32501172541834,80.75277000549312,57.4375,90.2262276750101,0.35,0.0392,0.18776870897033549,-0.1276759357356796,0.35,0.7620662381835979,0.011546013116565612,-0.054173035023051805,-0.054173035023051805,0.24694327539402372,0.27075069052562767,7.739005003293116,44.53740988955831,31.54290212926196,80.59914407988587,292144519.087274,60,188344719773.07162,0.0392,0.1871640693346821,42.50713266761769,86.73431595222107,71.62295404055709,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;,0.04533088247196275,constrained_regime_gated_drl,True,False,True,optimal,142,140,0.05000000000000002,True,0.05000000000000002,baseline_optimiser,0.04558142271219024,0.04533088247196275,0.05000000000000002,baseline_optimiser
601398.SHG,601398.SHG,NAME:industrialandcommercialbankofchinaltd,Industrial and Commercial Bank of China Ltd,China,Mainland China,Financials,CNY,Banks - Diversified,0.0,0.0,Buy,67.32871719832275,67.32871719832275,90.34328659579225,87.73616886859945,66.45416666666668,81.00001336983581,0.35,0.040999999999999995,0.1836207784780088,-0.11661513858224809,0.35,0.7525863610369018,0.01903127041847208,-0.045236002048831006,-0.045236002048831006,0.24194327539402372,0.27265334068095964,6.462286006975858,44.48771567671201,30.814699625087137,87.94579172610555,438453247.5124157,60,396674250329.90424,0.040999999999999995,0.6901903603142046,42.50713266761769,93.9106472282124,77.50378796367727,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;,0.0022558568848005797,constrained_regime_gated_drl,True,False,True,optimal,142,140,0.0,True,0.0,baseline_optimiser,0.004149132891107373,0.0022558568848005797,0.0,baseline_optimiser
601816.SHG,601816.SHG,NAME:beijingshanghaihighspeedrailwaycoltd,Beijing-Shanghai High Speed Railway Co Ltd,China,Mainland China,Industrials,CNY,Railroads,0.0,0.0,Hold,66.264185563239,66.264185563239,81.83395793621301,65.61455853528193,46.9375,85.54950311424149,0.35,0.0264,0.15129508177005813,-0.03798205601134469,0.35,0.6821093555399864,0.07681932298638122,0.023866044366860878,0.023866044366860878,0.2932908740625924,0.27097541575428546,0.0,47.05897965194176,25.528488571731405,68.83024251069901,144225099.18410784,60,36446941279.413506,0.0264,0.0829323543707104,70.0176424469945,82.392623618073,56.43287358154729,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;,0.045741769746746715,constrained_regime_gated_drl,True,False,True,optimal,142,140,0.05000000000000002,True,0.05000000000000002,baseline_optimiser,0.04387336847268948,0.045741769746746715,0.05000000000000002,baseline_optimiser
600036.SHG,600036.SHG,NAME:chinamerchantsbankcoltd,China Merchants Bank Co Ltd,China,Mainland China,Financials,CNY,Banks - Regional,0.0,0.0,Hold,65.9170585470536,65.9170585470536,95.95954907796057,86.59090374292659,52.60416666666667,83.2973760420765,0.35,0.10310000000000001,0.1665442861478496,-0.07787327532567873,0.35,0.7163413647339931,0.04930030646363781,-0.008990193688109549,-0.008990193688109549,0.2904988309495793,0.27161767646481455,1.28431338401565,46.9827458739944,28.156285489623304,90.87018544935806,542763029.738678,60,144633145484.21426,0.10310000000000001,0.432604004035129,42.50713266761769,95.48775947889516,73.29416557485854,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;,0.04621582163138123,constrained_regime_gated_drl,True,False,True,optimal,142,140,0.05000000000000002,True,0.05000000000000002,baseline_optimiser,0.046474028430596406,0.04621582163138123,0.05000000000000002,baseline_optimiser
NOVN.SW,NOVN.SW,NAME:novartisag,Novartis AG,Switzerland,DACH,Healthcare,CHF,Drug Manufacturers - General,0.10951080208592004,8820.0,Hold,65.16045127685616,65.16045127685616,75.65542595504594,63.81642061643673,74.32916666666668,84.07541813822725,0.35,0.0297,0.19313732903127911,-0.14363956014270118,0.35,0.7748527166852137,0.001690219972085072,-0.06590784518886261,-0.06590784518886261,0.2571975407292591,0.2724775240250243,9.415406455551803,45.288812657539815,32.562143105845855,86.87589158345222,415891681.52164596,60,293874366051.8231,0.0297,0.05187250662520121,77.35803892340972,75.09767770175114,55.870433471050134,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;,0.04536425944202179,constrained_regime_gated_drl,True,False,True,optimal,142,140,0.05000000000000002,True,0.05000000000000002,baseline_optimiser,0.04349363807251227,0.04536425944202179,0.05000000000000002,baseline_optimiser
AD.AS,AD.AS,NAME:koninklijkeaholddelhaizenv,Koninklijke Ahold Delhaize NV,Netherlands,EU ex-DACH,Consumer Staples,EUR,Grocery Stores,0.0,0.0,Hold,65.09805454662451,65.09805454662451,68.24960448853264,73.62097779445419,72.52083333333334,86.71868425443364,0.35,0.0424,0.20748941537939083,-0.18555563936210617,0.35,0.8083185623193712,-0.02470369131101341,-0.0973249866938002,-0.0973249866938002,0.24258947602625425,0.29533143263123873,13.903569527685743,47.13921401271047,35.23456299069557,61.62624821683309,94561549.74311069,60,33767453676.763763,0.0424,0.1492844038841335,48.819984828888686,72.85359105765579,70.2906274053898,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;,0.04615398077820722,constrained_regime_gated_drl,True,False,True,optimal,142,140,0.05000000000000002,True,0.05000000000000002,baseline_optimiser,0.04428800367074315,0.04615398077820722,0.05000000000000002,baseline_optimiser
0939.HK,0939.HK,NAME:chinaconstructionbankcorp,China Construction Bank Corp,Hong Kong,Hong Kong,Financials,HKD,Banks - Diversified,0.0,0.0,Hold,65.06928644302178,65.06928644302178,92.54887737089908,85.11813312776988,57.10416666666667,90.2262276750101,0.35,0.0495,0.21007149375805143,-0.1937796380471858,0.35,0.8151588502702147,-0.029376824153224623,-0.10290184696854261,-0.10290184696854261,0.2824988309495793,0.2779107848666696,14.700263852648945,47.27810453574691,35.76861806072891,80.527817403709,291154105.222654,60,292648429897.1778,0.0495,1.049362946975455,42.50713266761769,90.32725635077081,75.16939605692558,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;,0.0018851900816405785,constrained_regime_gated_drl,True,False,True,optimal,142,140,0.0,True,0.0,baseline_optimiser,0.0037762827427240786,0.0018851900816405785,0.0,baseline_optimiser
PG.US,PG.US,NAME:proctergamblecompany,Procter & Gamble Company,United States,US,Consumer Staples,USD,Household & Personal Products,0.0,0.0,Hold,64.60684292834337,64.60684292834337,77.2356715653646,64.25208451734511,66.45416666666668,85.54950311424149,0.35,0.0297,0.1963597563700154,-0.14774159554243493,0.35,0.7805401403780918,-0.0037349335810503703,-0.07246084831055576,-0.07246084831055576,0.2269575407292591,0.2724777232989194,10.351549758650822,43.66052795837388,32.90919639735891,97.93152639087019,1304269098.3,60,341621932032.0,0.0297,0.044338488193378545,83.07373898557907,67.94358561974859,54.557616656445575,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;,0.04513203514613873,constrained_regime_gated_drl,True,False,True,optimal,142,140,0.05000000000000002,True,0.05000000000000002,baseline_optimiser,0.04326004809193616,0.04513203514613873,0.05000000000000002,baseline_optimiser
600919.SHG,600919.SHG,NAME:bankofjiangsucoltd,Bank of Jiangsu Co Ltd,China,Mainland China,Financials,CNY,Banks - Regional,0.0,0.0,Hold,64.24676147910728,64.24676147910728,91.76696705228298,84.23081192760881,56.77083333333333,86.28947834408092,0.35,0.048,0.1879099532510827,-0.13087285070413412,0.35,0.7632159609205673,0.01099008277732233,-0.05477840086055662,-0.05477840086055662,0.2513877198384682,0.27961304724796954,7.825485837222375,45.79930575068324,31.696997969329427,71.82596291012838,173359007.74210712,60,31518623133.498875,0.048,2.6251294007966086,42.50713266761769,85.31767220353618,79.16567826066344,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;,0.0019997620916969248,constrained_regime_gated_drl,True,False,True,optimal,142,140,0.0,True,0.0,baseline_optimiser,0.0038915296183465054,0.0019997620916969248,0.0,baseline_optimiser
