security_id,ticker,company_name,p5_return_3m,p50_return_3m,p95_return_3m,forecast_spread_3m,p5_return_6m,p50_return_6m,p95_return_6m,forecast_spread_6m,p5_return_9m,p50_return_9m,p95_return_9m,forecast_spread_9m,p5_return_12m,p50_return_12m,p95_return_12m,forecast_spread_12m,downside_risk_score,upside_potential_score,forecast_uncertainty_score,distribution_family,distribution_degrees_of_freedom,distribution_skewness
600600.SHG,600600.SHG,Tsingtao Brewery Co Ltd,-0.17323074575528608,0.06413601553679125,0.26275194163505444,0.4359826873903405,-0.20741526200225027,0.1282720310735825,0.4091573674650387,0.616572629467289,-0.21872324397557769,0.19240804661037375,0.536420921804911,0.7551441657804887,-0.21818946043698967,0.256544062147165,0.6537759143436914,0.871965374780681,62.33984583913991,100,30.89960873397026,student_t,9.804610011806616,0.6452647812648441
600660.SHG,600660.SHG,Fuyao Glass Industry Group Co Ltd Class A,-0.34071208682321197,0.03999934246069451,0.35126938760725257,0.6919814744304645,-0.45840858172235704,0.07999868492138902,0.520201004328137,0.978609586050494,-0.5394135111598082,0.11999802738208352,0.6591335604501802,1.1985470716099884,-0.601425488725035,0.15999736984277804,0.7825374601358941,1.383962948860929,100,100,49.04313274236433,student_t,9.211912072072412,0.5943809433751982
600674.SHG,600674.SHG,Sichuan Chuantou Energy Co Ltd,-0.338232283991842,-0.0625,0.1577246016486652,0.4959568856405072,-0.5149443356053729,-0.125,0.18644461841975463,0.7013889540251275,-0.665082325160881,-0.1875,0.1939401991321048,0.8590225242929858,-0.801464567983684,-0.25,0.1904492032973304,0.9919137712810144,100,42.32204517718453,35.15018866216943,student_t,8.636676888719455,0.5417266824403963
600690.SHG,600690.SHG,Qingdao Haier Co Ltd,-0.19779966526315043,0.0875,0.32772015612550476,0.5255198213886552,-0.22847465595565164,0.175,0.5147226027480711,0.7431972587037228,-0.23165351561817016,0.26249999999999996,0.6785735154115022,0.9102270310296724,-0.22059933052630087,0.35,0.8304403122510094,1.0510396427773103,63.02838015037168,100,37.24541669315641,student_t,9.960720844242944,0.6588015543383188
000538.SHE,000538.SHE,Yunnan Baiyao Group Co Ltd,-0.08947036703227051,0.0875,0.24087050633321222,0.33034087336548273,-0.07527389319518141,0.175,0.3918986501244574,0.4671725433196388,-0.044021667134004794,0.26249999999999996,0.5281455093516878,0.5721671764856926,-0.0039407340645410405,0.35,0.6567410126664244,0.6606817467309654,1.1259240184402974,100,23.412406113944204,student_t,10.688122047238782,0.7202275805138978
600801.SHG,600801.SHG,Huaxin Cement Co Ltd A,-0.5296461534826479,0.0875,0.5906800884150082,1.120326241897656,-0.6977764602215484,0.175,0.8866041053525977,1.584380565574146,-0.8064284935276467,0.26249999999999996,1.1340334784917938,1.9404619720194405,-0.8842923069652958,0.35,1.3563601768300164,2.240652483795312,100,100,79.40141553841863,student_t,9.104756095910027,0.5881970845698349
600809.SHG,600809.SHG,Shanxi Xinghuacun Fen Wine Factory Co Ltd,-0.3382662541125029,0.0875,0.43940020587487794,0.7776664599873808,-0.4271244109666911,0.175,0.6726620437501367,1.099786454716828,-0.4749487842711364,0.26249999999999996,0.8720090357692364,1.3469578200403727,-0.5015325082250057,0.35,1.053800411749756,1.5553329199747616,100,100,55.115925549648786,student_t,9.476558765053452,0.6183522952119461
000559.SHE,000559.SHE,Wanxiang Qianchao Co Ltd,-0.9607951805191677,-0.0625,0.6574032826916564,1.618198463210824,-1.395381227304595,-0.125,0.8930969859794526,2.2884782132840478,-1.7433928928534548,-0.18750000000000003,1.059409062157569,2.8028019550110237,-2.0465903610383354,-0.25,1.1898065653833128,3.236396926421648,100,100,100,student_t,8.64944973688115,0.5494548879840951
000166.SHE,000166.SHE,Shenwan Hongyuan Group Co Ltd,-0.3552450274142921,-0.06249999999999999,0.1768109684758531,0.5320559958901452,-0.5390039880865753,-0.12499999999999999,0.2134368172431917,0.7524408053297671,-0.6945492611446976,-0.18749999999999997,0.22699875620869145,0.9215480173533891,-0.8354900548285842,-0.24999999999999997,0.2286219369517062,1.0641119917802904,100,50.80487487815694,37.70865810285984,student_t,9.225827908975297,0.5940310005333989
600845.SHG,600845.SHG,Shanghai Baosight Software Co Ltd A,-0.6534158666742196,-0.0625,0.39938986843904983,1.0528057351132694,-0.960681232872133,-0.125,0.5282109162692289,1.4888921491413618,-1.2109963040783451,-0.1875,0.6125167196377388,1.823513023716084,-1.4318317333484392,-0.25,0.6737797368780997,2.1056114702265387,100,100,74.61600248992069,student_t,8.01947116663574,0.49210246837249805
000568.SHE,000568.SHE,Luzhou Lao Jiao Co Ltd,-0.3642913944155711,0.0875,0.4493042174688293,0.8135956118844004,-0.46392951734595295,0.175,0.6866684312682032,1.1505979486141562,-0.5200256495501591,0.26249999999999996,0.8891632870487114,1.4091889365988703,-0.5535827888311422,0.35,1.0736084349376585,1.6271912237688007,100,100,57.66234945103484,student_t,8.668169370395056,0.5477856777383427
600863.SHG,600863.SHG,Inner Mongolia MengDian HuaNeng Thermal Power Corp Ltd,-0.4991943767107031,0.0875,0.5638501863609148,1.0630445630716179,-0.6547111445123059,0.175,0.8486608939905569,1.5033720385028628,-0.7536844689778923,0.2625,1.0875627249720077,1.8412471939499,-0.8233887534214063,0.35,1.3027003727218296,2.1260891261432358,100,100,75.34166382225737,student_t,9.000604005617106,0.5788270764232026
