horizon,alpha,kupiec_statistic,kupiec_p_value,exceedance_rate,christoffersen_statistic,christoffersen_p_value,expected_shortfall_gap
12,0.05,11.762466898223835,0.0006043707404369547,0.03136136849607983,0.0,1.0,0.6105787354747056
12,0.01,16.371690596491376,5.2056966726388154e-05,0.0014255167498218105,0.0,1.0,1.0044853515803842
