security_id,ticker,issuer_id,company_name,country,region,sector,currency,industry,current_weight,current_market_value_usd,final_recommendation,final_recommendation_score,scorecard_score,portfolio_fit_score,regime_suitability_score,sentiment_alt_data_score,narrative_reframing_score,expected_total_return_12m,expected_dividend_return_12m,expected_volatility_12m,p5_return_12m,p50_return_12m,p95_return_12m,var_5_12m,cvar_5_12m,expected_shortfall_5_12m,dividend_cut_probability,large_drawdown_probability_12m,tail_risk_score,skewness_risk_score,forecast_uncertainty_score,liquidity_score,average_daily_value_usd,liquidity_observation_count,market_cap_usd,dividend_yield,free_cash_flow_yield,balance_sheet_strength_score,cashflow_quality_score,dividend_safety_score,regime_review_required_flag,regime_exclusion_flag,reframing_review_required_flag,reframing_exclusion_flag,alt_data_review_required_flag,alt_data_exclusion_flag,price_data_quality_score,price_data_exclusion_flag,sector_data_source,liquidity_data_source,market_cap_data_source,fundamentals_data_source,is_synthetic_data,is_synthetic_fundamentals,instrument_type,listing_status,risk_management_flags,target_weight,portfolio_method,eligible_for_optimisation,fallback_eligibility_used,optimisation_feasible,optimisation_status,eligible_security_count,candidate_security_count,baseline_weight,selected_weight,selected_weights_source
601728.SHG,601728.SHG,NAME:chinatelecomcorpltd,China Telecom Corp Ltd,China,Mainland China,Communication Services,CNY,Telecom Services,0.0,0.0,Hold,64.0,64.0,86.83383581119881,65.02932370243632,72.52083333333334,81.00001336983581,0.35,0.0432,0.2328969102436732,-0.2749535717310237,0.35,0.8733581963872018,-0.0728777965791994,-0.154391715164485,-0.154391715164485,0.3053442073959258,0.3281049890738264,22.05595930921216,54.29987913752982,40.70964238559195,72.25392296718974,176260649.9645264,60,83586685018.32802,0.0432,0.0918102699627769,91.76156137675964,75.3131368242871,48.18853032568924,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_downside_skew;,0.0,cvar_constrained,True,False,True,optimal,142,140,0.0,0.0,baseline_optimiser
PRU.US,PRU.US,NAME:prudentialfinancialinc,"Prudential Financial, Inc.",United States,US,Financials,USD,Insurance - Life,0.0,0.0,Hold,64.0,64.0,89.96968616262482,77.66553331613017,54.4375,81.00001336983581,0.35,0.0466,0.2295706011561415,-0.2609778283219844,0.35,0.8642308790312905,-0.0662778666842699,-0.1466275770889195,-0.1466275770889195,0.300276608727357,0.3159657722461583,20.94679672698851,52.62632957526056,39.89059884021837,76.67617689015692,230535801.0,60,41917501440.0,0.0466,0.1496033824672542,42.50713266761769,78.67837629501855,68.80390810926126,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,0.0,cvar_constrained,True,False,True,optimal,142,140,0.0,0.0,baseline_optimiser
1113.HK,1113.HK,NAME:ckassetholdingsltd,CK Asset Holdings Ltd,Hong Kong,Hong Kong,Real Estate,HKD,Real Estate - Development,0.0,0.0,Hold,64.0,64.0,88.61039662910164,60.75938416058264,48.27083333333333,81.44223886264008,0.35,0.038,0.2234360781107428,-0.2388369515955863,0.35,0.8482612385569516,-0.0546037641016464,-0.1328063914404064,-0.1328063914404064,0.2799575407292591,0.3100406207414689,18.97234163434377,50.84855458636036,38.53951495390204,40.798858773181166,29336447.474039625,60,20868907332.61133,0.038,0.0989195779264623,67.7191175463155,76.37272919866837,59.66915955397771,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,0.0,cvar_constrained,True,False,True,optimal,142,140,0.0,0.0,baseline_optimiser
2318.HK,2318.HK,NAME:pinganinsurance,Ping An Insurance,Hong Kong,Hong Kong,Financials,HKD,Insurance - Life,0.0,0.0,Hold,64.0,64.0,88.1021940613413,82.63519707549852,52.77083333333333,90.2262276750101,0.35,0.0533,0.2808250902991716,-0.4081852645235788,0.35,0.984988913181446,-0.1599094357133569,-0.2581982173180669,-0.2581982173180669,0.2869432753940237,0.3364286278497819,36.88545961686671,54.26947958080689,49.39043919070373,78.60199714693296,258282392.9413264,60,131507367459.25974,0.0533,0.7308731235568139,42.50713266761769,94.16084965564264,70.86722294650284,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,0.0,cvar_constrained,True,False,True,optimal,142,140,0.0,0.0,baseline_optimiser
2328.HK,2328.HK,NAME:piccpropertycasualtyh,PICC Property & Casualty-H,Hong Kong,Hong Kong,Financials,HKD,Insurance - Property & Casualty,0.0,0.0,Hold,64.0,64.0,86.95133814122717,75.10105650268714,66.45416666666668,90.2262276750101,0.35,0.0474,0.2968311134862332,-0.4468923020342858,0.35,1.0200772713668609,-0.1884398725341209,-0.2923307622543026,-0.2923307622543026,0.2419432753940237,0.3458915342634768,41.76153746490037,52.93827647469475,52.00661386721637,59.48644793152639,85230558.5271071,60,45230874697.585526,0.0474,0.1294254486472691,42.50713266761769,68.73932858894241,78.99262526343463,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;,0.0,cvar_constrained,True,False,True,optimal,142,140,0.0,0.0,baseline_optimiser
1919.HK,1919.HK,NAME:coscoshippingholdingscoltdh,COSCO SHIPPING Holdings Co Ltd H,Hong Kong,Hong Kong,Industrials,HKD,Marine Shipping,0.0,0.0,Hold,64.0,64.0,88.3810251735167,57.78015380411468,54.8125,73.98492652868289,0.35,0.0666,0.2689507447367545,-0.3891712018226286,0.35,0.9619662855702444,-0.13990263095609,-0.2340353916139541,-0.2340353916139541,0.335966429618148,0.3471250510945303,33.43362737342203,58.14339056726914,47.90016566290914,47.07560627674751,42257662.12015035,60,29821658505.956554,0.0666,0.101754927844316,85.65739032774925,61.91826361632119,45.13506344684896,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_downside_skew;,0.0,cvar_constrained,True,False,True,optimal,142,140,0.0,0.0,baseline_optimiser
1288.HK,1288.HK,NAME:agriculturalbankofchina,Agricultural Bank Of China,Hong Kong,Hong Kong,Financials,HKD,Banks - Diversified,0.0,0.0,Hold,64.0,64.0,90.44509705706167,79.33868013478985,72.52083333333334,81.00001336983581,0.35,0.0474,0.2376556945264699,-0.2741056888201958,0.35,0.8796524199196853,-0.080056833752408,-0.1632363268366725,-0.1632363268366725,0.2513877198384682,0.3150024972956991,23.319475262381797,49.88270383311358,40.902724599998805,54.77888730385164,64172448.42963624,60,261534106461.10724,0.0474,1.1786580588762738,42.50713266761769,96.77401045668606,80.44187802929565,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,0.0,cvar_constrained,True,False,True,optimal,142,140,0.0,0.0,baseline_optimiser
HNR1.XETRA,HNR1.XETRA,NAME:hannoverrckse,Hannover Rück SE,Germany,DACH,Financials,EUR,Insurance - Reinsurance,0.0,0.0,Hold,64.0,64.0,81.70411300929851,75.09224199568162,48.27083333333333,73.98492652868289,0.35,0.0501999999999999,0.2046379744159414,-0.1898411043316883,0.35,0.8058410981900208,-0.0207542747845241,-0.0923775658301036,-0.0923775658301036,0.2949432753940237,0.3090864806990573,13.19679511858623,51.5453856788002,35.29865975403303,49.21540656205421,47025647.69141386,60,34428456928.03682,0.0501999999999999,0.1881730868827245,42.50713266761769,89.468554989664,82.13638328499209,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;ml_drawdown_risk;,0.0,cvar_constrained,True,False,True,optimal,142,140,0.0,0.0,baseline_optimiser
AIG.US,AIG.US,NAME:americaninternationalgroupinc,American International Group Inc,United States,US,Financials,USD,Insurance - Diversified,0.0,0.0,Hold,64.0,64.0,83.22771041369472,72.89075749953669,52.77083333333333,81.00001336983581,0.35,0.025,0.2444778463823569,-0.2982434627702014,0.35,0.8975484398198486,-0.0929052923012851,-0.1784725385351101,-0.1784725385351101,0.2869432753940237,0.3119151491237267,25.496076933587165,51.44100126626207,42.39289544319606,81.59771754636233,311011646.88,60,42400591872.0,0.025,0.0781592863138417,42.50713266761769,68.5632730154291,68.84622379121755,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,0.0,cvar_constrained,True,False,True,optimal,142,140,0.0,0.0,baseline_optimiser
ALL.US,ALL.US,NAME:theallstatecorporation,The Allstate Corporation,United States,US,Financials,USD,Insurance - Property & Casualty,0.0,0.0,Hold,64.0,64.0,79.4302781740371,79.82496554687359,61.10416666666667,90.2262276750101,0.35,0.0165,0.2488786923939849,-0.2962383113204113,0.35,0.9032082455539298,-0.0994116364674123,-0.186519178805307,-0.186519178805307,0.2469432753940237,0.2924316607107246,26.645596972186716,47.03906029553103,42.52245927166773,89.87161198288159,485300642.6400001,60,69563744256.0,0.0165,0.1420567582393706,42.50713266761769,74.38386616168818,64.66191501266921,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;ml_downside_tail_risk;ml_asymmetric_downside;,0.0,cvar_constrained,True,False,True,optimal,142,140,0.0,0.0,baseline_optimiser
