security_id,ticker,company_name,country,region,sector,currency,current_weight,target_weight,weight_change,trade_action,trade_size_usd,expected_total_return_12m,expected_dividend_return_12m,p5_return_12m,var_5_12m,cvar_5_12m,expected_shortfall_5_12m,dividend_cut_probability,large_drawdown_probability_12m,regime_suitability_score,portfolio_fit_score,final_recommendation_score,risk_flags,trade_rationale,expected_portfolio_impact
OR.PA,OR.PA,LOréal S.A.,France,EU ex-DACH,Consumer Staples,EUR,0.20859200397318103,0.0,-0.20859200397318103,Sell,-16800.0,0.11603417510654392,0.018500000000000003,-0.5613612464648619,-0.3472405645402959,-0.4367771530679214,-0.4367771530679214,0.2719575407292591,0.31435351472844875,53.921631294612524,56.08557000411275,59.38439854124767,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_cvar_risk;ml_expected_shortfall_risk;cvar_risk;,"Reduce: high CVaR/Expected Shortfall, dividend risk, drawdown risk or weak scorecard support.",-0.024203801114848992
NESN.SW,NESN.SW,Nestle S.A.,Switzerland,DACH,Consumer Staples,CHF,0.13037000248323813,0.0,-0.13037000248323813,Avoid / Exit,-10499.999999999998,0.10297163655468242,0.0381,-0.5314448125779689,-0.30738621454509185,-0.38586770068505494,-0.38586770068505494,0.5626069141115823,0.29060284495256006,60.02042076767712,69.24837411665268,53.958907852439815,narrative_review;ml_dividend_cut_risk;ml_downside_tail_risk;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;dividend_cut_risk;cvar_risk;,"Avoid: excluded by liquidity, recommendation, regime, narrative or alternative-data controls.",-0.013424412513337041
NOVN.SW,NOVN.SW,Novartis AG,Switzerland,DACH,Healthcare,CHF,0.10951080208592004,0.05000000000000002,-0.05951080208592002,Reduce,-4792.999999999998,0.35,0.0297,-0.14363956014270118,0.001690219972085072,-0.06590784518886261,-0.06590784518886261,0.2571975407292591,0.2724775240250243,63.81642061643673,75.65542595504594,65.16045127685616,narrative_review;,"Reduce: high CVaR/Expected Shortfall, dividend risk, drawdown risk or weak scorecard support.",-0.020828780730072008
601816.SHG,601816.SHG,Beijing-Shanghai High Speed Railway Co Ltd,China,Mainland China,Industrials,CNY,0.0,0.05000000000000002,0.05000000000000002,Buy,4027.0000000000014,0.35,0.0264,-0.03798205601134469,0.07681932298638122,0.023866044366860878,0.023866044366860878,0.2932908740625924,0.27097541575428546,65.61455853528193,81.83395793621301,66.264185563239,narrative_review;,"Increase: improves risk-adjusted return, dividend quality, diversification or regime suitability.",0.017500000000000005
ALV.XETRA,ALV.XETRA,Allianz SE VNA O.N.,Germany,DACH,Financials,EUR,0.0,0.05000000000000002,0.05000000000000002,Buy,4027.0000000000014,0.35,0.0392,-0.1276759357356796,0.011546013116565612,-0.054173035023051805,-0.054173035023051805,0.24694327539402372,0.27075069052562767,80.75277000549312,79.32501172541834,68.89547209285382,narrative_review;,"Increase: improves risk-adjusted return, dividend quality, diversification or regime suitability.",0.017500000000000005
000333.SHE,000333.SHE,Midea Group Co Ltd,China,Mainland China,Consumer Discretionary,CNY,0.0,0.05000000000000002,0.05000000000000002,Buy,4027.0000000000014,0.35,0.0504,-0.13917214480377849,0.007329256960307229,-0.059104530480015835,-0.059104530480015835,0.295166429618148,0.2682521114999183,72.33369707736512,91.50838243426061,70.64707669691002,narrative_review;,"Increase: improves risk-adjusted return, dividend quality, diversification or regime suitability.",0.017500000000000005
PG.US,PG.US,Procter & Gamble Company,United States,US,Consumer Staples,USD,0.0,0.05000000000000002,0.05000000000000002,Buy,4027.0000000000014,0.35,0.0297,-0.14774159554243493,-0.0037349335810503703,-0.07246084831055576,-0.07246084831055576,0.2269575407292591,0.2724777232989194,64.25208451734511,77.2356715653646,64.60684292834337,narrative_review;,"Increase: improves risk-adjusted return, dividend quality, diversification or regime suitability.",0.017500000000000005
000538.SHE,000538.SHE,Yunnan Baiyao Group Co Ltd,China,Mainland China,Healthcare,CNY,0.0,0.05000000000000002,0.05000000000000002,Buy,4027.0000000000014,0.35,0.031200000000000002,-0.014633159101476834,0.08942036551736565,0.03880983114687805,0.03880983114687805,0.23640198517370353,0.2723438662654692,53.76563621228952,84.68679459298805,63.37662145808946,narrative_review;,"Increase: improves risk-adjusted return, dividend quality, diversification or regime suitability.",0.017500000000000005
SBRY.LSE,SBRY.LSE,J Sainsbury PLC,United Kingdom,UK,Consumer Staples,GBX,0.0,0.05000000000000002,0.05000000000000002,Buy,4027.0000000000014,0.35,0.0385,-0.21913915445651933,-0.03612103690028595,-0.11057539505682364,-0.11057539505682364,0.3389290309000277,0.30952566560129113,68.54400224876477,75.23892514755075,61.16300249012455,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_downside_skew;,"Increase: improves risk-adjusted return, dividend quality, diversification or regime suitability.",0.017500000000000005
0823.HK,0823.HK,Link Real Estate Investment Trust,Hong Kong,Hong Kong,Real Estate,HKD,0.0,0.05000000000000002,0.05000000000000002,Buy,4027.0000000000014,0.35,0.0654,-0.16141488185568476,-0.00669428979581399,-0.07575957330317612,-0.07575957330317612,0.23995754072925912,0.30760838311034727,64.20382450328518,93.34060347646255,61.00868305496552,narrative_review;ml_drawdown_risk;,"Increase: improves risk-adjusted return, dividend quality, diversification or regime suitability.",0.017500000000000005
3988.HK,3988.HK,Bank of China Ltd H,Hong Kong,Hong Kong,Financials,HKD,0.0,0.05000000000000002,0.05000000000000002,Buy,4027.0000000000014,0.35,0.0484,-0.1340184769722858,0.009645947771126262,-0.05634897915323847,-0.05634897915323847,0.24694327539402372,0.2878287899696677,82.18369040459928,92.73628821255384,64,narrative_review;,"Increase: improves risk-adjusted return, dividend quality, diversification or regime suitability.",0.017500000000000005
SHEL.US,SHEL.US,Shell PLC ADR,United States,US,Energy,USD,0.0,0.05000000000000002,0.05000000000000002,Buy,4027.0000000000014,0.35,0.0356,-0.21597546345693808,-0.04680805191541676,-0.12375841336384637,-0.12375841336384637,0.2269575407292591,0.2953200364185854,81.0568103065126,88.51818830242512,64,narrative_review;ml_downside_tail_risk;ml_asymmetric_downside;,"Increase: improves risk-adjusted return, dividend quality, diversification or regime suitability.",0.017500000000000005
600036.SHG,600036.SHG,China Merchants Bank Co Ltd,China,Mainland China,Financials,CNY,0.0,0.05000000000000002,0.05000000000000002,Buy,4027.0000000000014,0.35,0.10310000000000001,-0.07787327532567873,0.04930030646363781,-0.008990193688109549,-0.008990193688109549,0.2904988309495793,0.27161767646481455,86.59090374292659,95.95954907796057,65.9170585470536,narrative_review;,"Increase: improves risk-adjusted return, dividend quality, diversification or regime suitability.",0.017500000000000005
