date,baseline_return,gross_return,net_return,active_return,transaction_cost,incremental_turnover,drawdown,expected_cvar,active_return_component,transaction_cost_penalty,turnover_penalty,drawdown_penalty,tail_risk_penalty,volatility_penalty,constraint_violations,overlay_json,reward,seed,split
2025-06-30,0.01663964845953985,0.01589652617667001,0.015811177109183186,-0.0008284713503566646,8.534906748682261e-05,0.04492056183516979,0.0,-0.08916087696571888,-0.08284713503566646,0.002133726687170565,0.00224602809175849,0.0,0.0,0.0,0,"{""US"": -0.009999999776482582, ""UK"": 0.0, ""DACH"": -0.006577633321285248, ""EU ex-DACH"": -0.009999999776482582, ""Mainland China"": -0.009999999776482582, ""Hong Kong"": -0.008342929184436798}",-0.0872268898145955,11,test
2025-07-31,0.032145567957444034,0.031258626974829,0.031217050369864788,-0.0009285175875792459,4.157660496421158e-05,0.021882423665374517,0.0,-0.08911467517240317,-0.09285175875792459,0.0010394151241052895,0.001094121183268726,0.0,0.0,0.0,0,"{""US"": -0.009999999776482582, ""UK"": 0.0, ""DACH"": 0.0, ""EU ex-DACH"": -0.009999999776482582, ""Mainland China"": -0.0011942246928811073, ""Hong Kong"": -0.0018439139239490032}",-0.0949852950652986,11,test
2025-08-31,-0.010170713717258199,-0.010077152383925037,-0.010098753947896525,7.195976936167324e-05,2.160156397148967e-05,0.011369244195520878,-0.0100987539478965,-0.08805505577738998,0.007195976936167324,0.0005400390992872417,0.0005684622097760439,0.0,0.0,0.0,0,"{""US"": -0.003861874807626009, ""UK"": -0.009999999776482582, ""DACH"": 0.0, ""EU ex-DACH"": -0.006612794473767281, ""Mainland China"": -0.0011942246928811073, ""Hong Kong"": 0.0}",0.006087475627104038,11,test
2025-09-30,0.02101066654250136,0.020454654963580246,0.020445501633929376,-0.000565164908571985,9.153329650871455e-06,0.0048175419215112925,0.0,-0.07883604725131299,-0.056516490857198495,0.00022883324127178639,0.00024087709607556462,0.0,0.0,0.0,0,"{""US"": -0.003861874807626009, ""UK"": -0.009999999776482582, ""DACH"": 0.0, ""EU ex-DACH"": -0.0017952525522559881, ""Mainland China"": -0.005234565585851669, ""Hong Kong"": 0.0}",-0.056986201194545845,11,test
2025-10-31,0.029931773421298317,0.029414867320521808,0.029414867320521808,-0.0005169061007765097,0.0,0.0,0.0,-0.07013878358117662,-0.05169061007765097,0.0,0.0,0.0,0.0,0.0,0,"{""US"": -0.003861874807626009, ""UK"": -0.009999999776482582, ""DACH"": 0.0, ""EU ex-DACH"": -0.0017952525522559881, ""Mainland China"": -0.005234565585851669, ""Hong Kong"": 0.0}",-0.05169061007765097,11,test
2025-11-30,-0.005211831463595365,-0.00504076202763088,-0.005047392303739506,0.00016443915985585918,6.630276108626276e-06,0.0034896190045401454,-0.005047392303739517,-0.06260738298623676,0.01644391598558592,0.0001657569027156569,0.0001744809502270073,0.0,0.0,0.0,0,"{""US"": -0.0003722558030858636, ""UK"": -0.009999999776482582, ""DACH"": 0.0, ""EU ex-DACH"": -0.0017952525522559881, ""Mainland China"": -0.008604438044130802, ""Hong Kong"": 0.0}",0.016103678132643257,11,test
2025-12-31,0.02621068906993365,0.026179323255773837,0.026179323255773837,-3.136581415981443e-05,0.0,0.0,0.0,-0.0560187805120409,-0.003136581415981443,0.0,0.0,0.0,0.0,0.0,0,"{""US"": -0.0003722558030858636, ""UK"": -0.009999999776482582, ""DACH"": 0.0, ""EU ex-DACH"": -0.0017952525522559881, ""Mainland China"": -0.008604438044130802, ""Hong Kong"": 0.0}",-0.003136581415981443,11,test
2026-01-31,0.0741067430090526,0.07323504329584131,0.07322459371571487,-0.0008821492933377278,1.0449580126442015e-05,0.00549977901391685,0.0,-0.06099104082456638,-0.08821492933377278,0.0002612395031610504,0.0002749889506958425,0.0,0.0,0.0,0,"{""US"": -0.0003722558030858636, ""UK"": -0.009999999776482582, ""DACH"": 0.0, ""EU ex-DACH"": 0.0, ""Mainland China"": -0.00489991158246994, ""Hong Kong"": 0.0}",-0.08875115778762968,11,test
2026-02-28,0.00652572516212242,0.006135292282412917,0.006135292282412917,-0.00039043287970950274,0.0,0.0,0.0,-0.06893640617470972,-0.039043287970950274,0.0,0.0,0.0,0.0,0.0,0,"{""US"": -0.0003722558030858636, ""UK"": -0.009999999776482582, ""DACH"": 0.0, ""EU ex-DACH"": 0.0, ""Mainland China"": -0.00489991158246994, ""Hong Kong"": 0.0}",-0.039043287970950274,11,test
2026-03-31,0.008098803222641605,0.00862622585485982,0.008619323186793497,0.0005205199641518925,6.902668066322803e-06,0.0036329831928014755,0.0,-0.06830717321053856,0.052051996415189254,0.00017256670165807008,0.0001816491596400738,0.0,0.0,0.0,0,"{""US"": -0.0003722558030858636, ""UK"": -0.009999999776482582, ""DACH"": 0.0, ""EU ex-DACH"": 0.0, ""Mainland China"": -0.008532894775271416, ""Hong Kong"": 0.0}",0.05169778055389111,11,test
2026-04-30,-0.008272729242609491,-0.0085232823926098,-0.008573781690241705,-0.00030105244763221385,5.049929763190448e-05,0.02657857770100236,-0.008573781690241589,-0.05198376784649855,-0.030105244763221385,0.001262482440797612,0.001328928885050118,0.0,0.0,0.0,0,"{""US"": -0.0003722558030858636, ""UK"": -0.0006117401644587517, ""DACH"": -0.009999999776482582, ""EU ex-DACH"": -0.009999999776482582, ""Mainland China"": -0.008532894775271416, ""Hong Kong"": -0.006578578148037195}",-0.03269665608906911,11,test
2026-05-31,-0.04908673069778624,-0.04853819496412294,-0.04854486770632908,0.0005418629914571635,6.672742206137627e-06,0.0035119695821776986,-0.056702436298674996,-0.05926148220131595,0.05418629914571635,0.0001668185551534407,0.00017559847910888495,0.0,0.0,0.0,0,"{""US"": 0.0, ""UK"": -0.0006117401644587517, ""DACH"": -0.009999999776482582, ""EU ex-DACH"": -0.006860285997390747, ""Mainland China"": -0.008532894775271416, ""Hong Kong"": -0.006578578148037195}",0.05384388211145402,11,test
2025-06-30,0.01663964845953985,0.016603026011132196,0.01658402601155688,-5.562244798297186e-05,1.8999999575316906e-05,0.009999999776482582,0.0,-0.0924847910857829,-0.005562244798297186,0.00047499998938292263,0.0004999999888241291,0.0,0.0,0.0,0,"{""US"": 0.0, ""UK"": 0.0, ""DACH"": 0.0, ""EU ex-DACH"": 0.0, ""Mainland China"": 0.0, ""Hong Kong"": -0.009999999776482582}",-0.006537244776504239,23,test
