security_id,ticker,company_name,dividend_cut_probability,dividend_sustainability_score,dividend_growth_probability,dividend_risk_model_confidence
CSN.LSE,CSN.LSE,Chesnara,0.9184566308144165,8.154336918558347,0,0.78
CURY.LSE,CURY.LSE,Currys PLC,0.2879575407292591,71.20424592707408,0.46605786070215466,0.68
CWK.LSE,CWK.LSE,Cranswick PLC,0.2719575407292591,72.80424592707408,0.3925819431362424,0.68
DCC.LSE,DCC.LSE,DCC plc,0.31654420739592576,68.34557926040743,0.4031000015525201,0.68
DLN.LSE,DLN.LSE,Derwent London PLC,0.449714915352154,55.0285084647846,0.21259519310017302,0.78
DNLM.LSE,DNLM.LSE,Dunelm Group PLC,0.23195754072925912,76.80424592707409,0.5694079053596075,0.68
DOM.LSE,DOM.LSE,Domino’s Pizza Group PLC,0.32983015919221265,67.01698408077874,0.4606226689783225,0.68
DRX.LSE,DRX.LSE,Drax Group PLC,0.5252908740625926,47.47091259374074,0.2472537595134826,0.78
DSCV.LSE,DSCV.LSE,Discoverie Group PLC,0.27449991361061504,72.55000863893851,0.44534079913705277,0.68
ELM.LSE,ELM.LSE,Elementis PLC,0.28799570895784704,71.20042910421529,0.3193321813066689,0.68
EMG.LSE,EMG.LSE,Man Group PLC,0.23983329341475257,76.01667065852475,0.4664059244247225,0.68
ENT.LSE,ENT.LSE,Entain PLC,0.7608770886825523,23.912291131744766,0,0.78
EXPN.LSE,EXPN.LSE,Experian PLC,0.25240198517370355,74.75980148262964,0.4986292230537274,0.68
EZJ.LSE,EZJ.LSE,EasyJet PLC,0.2879575407292591,71.20424592707408,0.46008108530945313,0.68
FAN.LSE,FAN.LSE,Volution Group plc,0.5232908740625924,47.67091259374075,0.12670912593740757,0.78
FEVR.LSE,FEVR.LSE,Fevertree Drinks Plc,0.672144207395926,32.7855792604074,0,0.78
FGP.LSE,FGP.LSE,FirstGroup PLC,0.2373840810136193,76.26159189863807,0.551821936061816,0.68
FOUR.LSE,FOUR.LSE,4Imprint Group Plc,0.25283754072925907,74.71624592707408,0.47316783511399063,0.68
FRES.LSE,FRES.LSE,Fresnillo PLC,0.24440198517370354,75.55980148262964,0.4786641860903068,0.68
GAMA.LSE,GAMA.LSE,Gamma Communications PLC,0.2879575407292591,71.20424592707408,0.46598222495486247,0.68
GAW.LSE,GAW.LSE,Games Workshop Group PLC,0.3682864669514814,63.17135330485186,0.37779416145033384,0.78
GDWN.LSE,GDWN.LSE,Goodwin PLC,0.2755130962848147,72.44869037151854,0.38875251226875585,0.68
GEN.LSE,GEN.LSE,Genuit Group plc,0.26298420739592576,73.70157926040743,0.5191791723507936,0.68
GLB.LSE,GLB.LSE,Glanbia plc,0.23195754072925912,76.80424592707409,0.4618771718817224,0.68
GNC.LSE,GNC.LSE,Greencore Group,0.5164019851737036,48.359801482629635,0.18383043994125803,0.78
GNS.LSE,GNS.LSE,Genus PLC,0.33054370549647744,66.94562945035226,0.2812405736106084,0.68
GPE.LSE,GPE.LSE,GREAT PORTLAND ESTATES PLC,0.7847752589204756,21.522474107952437,0,0.78
GRG.LSE,GRG.LSE,Greggs PLC,0.3518760543463173,64.81239456536827,0.27795499465982554,0.78
GRI.LSE,GRI.LSE,Grainger PLC,0.3955199334114578,60.44800665885421,0.39058051577820824,0.78
GSK.LSE,GSK.LSE,GSK plc,0.23195754072925912,76.80424592707409,0.5219747716972821,0.68
HIK.LSE,HIK.LSE,Hikma Pharmaceuticals PLC,0.3173880453994058,68.26119546005943,0.29809028697399625,0.68
HILS.LSE,HILS.LSE,Hill & Smith Holdings PLC,0.2719575407292591,72.80424592707408,0.43819339795837414,0.68
HMSO.LSE,HMSO.LSE,Hammerson PLC,0.825606634078423,17.439336592157694,0,0.78
HOC.LSE,HOC.LSE,Hochschild Mining plc,0.2675130962848147,73.24869037151853,0.43719256985628824,0.68
HSX.LSE,HSX.LSE,Hiscox Ltd,0.5148459560861913,48.51540439138087,0,0.78
HWDN.LSE,HWDN.LSE,Howden Joinery Group Plc,0.23195754072925912,76.80424592707409,0.5447475423850139,0.68
ICG.LSE,ICG.LSE,Intermediate Capital Group PLC,0.2513877198384682,74.86122801615318,0.5504741674058644,0.68
IGG.LSE,IGG.LSE,IG Group Holdings PLC,0.28694327539402376,71.30567246059762,0.5285122585283311,0.68
IHG.LSE,IHG.LSE,InterContinental Hotels Group PLC,0.2852908740625924,71.47091259374076,0.4254749421954341,0.68
III.LSE,III.LSE,3I Group PLC,0.30027660872735706,69.97233912726429,0.3498633629976107,0.68
IMI.LSE,IMI.LSE,IMI PLC,0.2269575407292591,77.30424592707409,0.48883173364532057,0.68
INCH.LSE,INCH.LSE,Inchcape PLC,0.25304087406259246,74.69591259374076,0.48922520458112967,0.68
INF.LSE,INF.LSE,Informa PLC,0.6589244132774205,34.10755867225795,0.11992343128315516,0.78
INPP.LSE,INPP.LSE,International Public Partnership,0.325516406678769,67.4483593321231,0.4447811555736995,0.68
INVP.LSE,INVP.LSE,Investec PLC,0.712222135649688,28.777786435031206,0,0.78
