security_id,ticker,issuer_id,company_name,country,region,sector,currency,industry,current_weight,current_market_value_usd,final_recommendation,final_recommendation_score,scorecard_score,portfolio_fit_score,regime_suitability_score,sentiment_alt_data_score,narrative_reframing_score,expected_total_return_12m,expected_dividend_return_12m,expected_volatility_12m,p5_return_12m,p50_return_12m,p95_return_12m,var_5_12m,cvar_5_12m,expected_shortfall_5_12m,dividend_cut_probability,large_drawdown_probability_12m,tail_risk_score,skewness_risk_score,forecast_uncertainty_score,liquidity_score,average_daily_value_usd,liquidity_observation_count,market_cap_usd,dividend_yield,free_cash_flow_yield,balance_sheet_strength_score,cashflow_quality_score,dividend_safety_score,regime_review_required_flag,regime_exclusion_flag,reframing_review_required_flag,reframing_exclusion_flag,alt_data_review_required_flag,alt_data_exclusion_flag,price_data_quality_score,price_data_exclusion_flag,sector_data_source,liquidity_data_source,market_cap_data_source,fundamentals_data_source,is_synthetic_data,is_synthetic_fundamentals,instrument_type,listing_status,risk_management_flags,target_weight,portfolio_method,eligible_for_optimisation,fallback_eligibility_used,optimisation_feasible,optimisation_status,eligible_security_count,candidate_security_count,unconstrained_turnover,projected_turnover,turnover_constraint_applied,no_trade_band_applied,retention_eligible,turnover_constraint_skipped_for_hard_exit,turnover_constraint_skipped_for_infeasible_current
601919.SHG,601919.SHG,NAME:coscoshippingholdingscoltd,COSCO SHIPPING Holdings Co Ltd,China,Mainland China,Industrials,CNY,Marine Shipping,0.0,0.0,Hold,64,64,88.91922852003431,68.59392237647492,61.10416666666667,86.28947834408092,0.35,0.057300000000000004,0.23286567489089224,-0.2715277906411784,0.35,0.8727053729499564,-0.07231649152900971,-0.153819477740822,-0.153819477740822,0.3271554240267095,0.3056535351166865,21.974211105831714,52.88377688413279,40.54789109520773,74.12687099073413,197078761.48005375,60,34751496596.90198,0.057300000000000004,0.08764125878003473,85.65099859047102,55.01531406074479,58.6748255660204,False,False,True,False,False,False,100.0,False,yahoo_finance,observed_price_volume_fx,yahoo_finance,"bloomberg_database_as_of,eastmoney_china_financials,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,0.0,score_weighted,True,False,True,optimal,143,140,0.9500000000000002,0.9500000000000002,False,False,True,True,True
002142.SHE,002142.SHE,NAME:bankofningbocoltd,Bank of Ningbo Co Ltd,China,Mainland China,Financials,CNY,Banks - Regional,0.0,0.0,Hold,64,64,88.54072829144545,83.23127957967218,52.77083333333333,73.98492652868289,0.35,0.0378,0.22011309351751024,-0.22765770670360053,0.35,0.8401235936948788,-0.04830693810469883,-0.12534652083582742,-0.12534652083582742,0.2869411501925447,0.29905412827390365,17.906645833689634,49.956922888125916,37.83868643185713,70.49180327868852,154275204.48733258,60,30726177661.10914,0.0378,1.1205151599185366,42.50712758374911,88.52071674496327,78.30869616185737,False,False,True,False,False,False,100.0,False,yahoo_finance,observed_price_volume_fx,yahoo_finance,"bloomberg_database_as_of,eastmoney_china_financials,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;ml_downside_tail_risk;ml_asymmetric_downside;,0.0,score_weighted,True,False,True,optimal,143,140,0.9500000000000002,0.9500000000000002,False,False,True,True,True
600406.SHG,600406.SHG,NAME:naritechnologycoltd,NARI Technology Co Ltd,China,Mainland China,Industrials,CNY,Specialty Industrial Machinery,0.0,0.0,Hold,64,64,77.13465973885113,62.55089534455399,82.20416666666668,81.00001336983581,0.35,0.025699999999999997,0.2744782424103692,-0.37925553768138787,0.35,0.9658506902515803,-0.14734165163032187,-0.2434090364739511,-0.2434090364739511,0.22695540536004288,0.3404957491882848,34.77271949627873,51.50864673341979,47.666177294264045,77.4768353528154,242736465.60805893,60,28633967789.996452,0.025699999999999997,0.055220061972051586,98.66824674344141,64.18794685493985,57.92466381918187,False,False,True,False,False,False,100.0,False,yahoo_finance,observed_price_volume_fx,yahoo_finance,"bloomberg_database_as_of,eastmoney_china_financials,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,0.0,score_weighted,True,False,True,optimal,143,140,0.9500000000000002,0.9500000000000002,False,False,True,True,True
PGR.US,PGR.US,NAME:progressivecorp,Progressive Corp,United States,US,Financials,USD,Insurance - Property & Casualty,0.0,0.0,Hold,64,64,92.71543121881682,83.67661724649037,52.60416666666667,81.00001336983581,0.35,0.0653,0.25684430139043507,-0.34130476195891024,0.35,0.9293789052139698,-0.11624506036469834,-0.2061405658513506,-0.2061405658513506,0.3199900390814336,0.31899249118398715,29.44865226447866,54.03705877946032,45.02888449001105,93.9415538132573,708739067.04,60,125192593408.0,0.0653,0.1373883193228977,42.50712758374911,81.17502692888954,72.88116077146114,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,finnhub_reported,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_downside_skew;,0.0,score_weighted,True,False,True,optimal,143,140,0.9500000000000002,0.9500000000000002,False,False,True,True,True
2318.HK,2318.HK,NAME:pinganinsurance,Ping An Insurance,Hong Kong,Hong Kong,Financials,HKD,Insurance - Life,0.0,0.0,Hold,64,64,88.2922637662634,86.03845212375646,52.77083333333333,85.54950311424149,0.35,0.0533,0.2761560905405868,-0.39789737164757366,0.35,0.9747856304121625,-0.15178367928610503,-0.2484383109753104,-0.2484383109753104,0.2869411501925447,0.34378230245719055,35.491187282187205,55.11786606312055,48.64340822029311,77.90449037776193,249761401.50690374,60,131507367459.25974,0.0533,0.7335620704865862,42.50712758374911,92.57846794956197,81.1871465830981,False,False,True,False,False,False,100.0,False,yahoo_finance,observed_price_volume_fx,yahoo_finance,"bloomberg_database_as_of,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_downside_skew;,0.0,score_weighted,True,False,True,optimal,143,140,0.9500000000000002,0.9500000000000002,False,False,True,True,True
0939.HK,0939.HK,NAME:chinaconstructionbankcorp,China Construction Bank Corp,Hong Kong,Hong Kong,Financials,HKD,Banks - Diversified,0.0,0.0,Hold,64,64,92.13919890525128,86.84711034227146,42.77083333333333,81.08624857805513,0.35,0.0495,0.2154921834252409,-0.20955548406864943,0.35,0.8276744608078184,-0.03936999561322663,-0.11479225981206094,-0.11479225981206094,0.26738559463698913,0.29077388300446366,16.39889425886585,47.94851851942983,36.75604604357334,80.4704205274412,283347912.7372569,60,292648429897.1778,0.0495,1.0532236461632354,42.50712758374911,90.32773978407292,80.15781653641561,False,False,True,False,False,False,100.0,False,yahoo_finance,observed_price_volume_fx,yahoo_finance,"bloomberg_database_as_of,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;ml_downside_tail_risk;ml_asymmetric_downside;,0.05,score_weighted,True,False,True,optimal,143,140,0.9500000000000002,0.9500000000000002,False,False,True,True,True
VZ.US,VZ.US,NAME:verizoncommunicationsinc,Verizon Communications Inc,United States,US,Communication Services,USD,Telecom Services,0.0,0.0,Hold,64,64,94.0090876692801,78.72287488658529,56.60416666666667,83.2973760420765,0.35,0.060899999999999996,0.24842634515393575,-0.3155358868684863,0.35,0.9093315664513097,-0.10061144226049046,-0.18756066306436797,-0.18756066306436797,0.3358170749403639,0.30359376640529456,26.794380437766858,53.112507851245894,43.405307312891736,97.93300071275837,1305861263.05,60,195232890880.0,0.060899999999999996,0.10078219869260586,33.09853123729418,78.18525330661437,61.9350238588314,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,finnhub_reported,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,0.0,score_weighted,True,False,True,optimal,143,140,0.9500000000000002,0.9500000000000002,False,False,True,True,True
VLO.US,VLO.US,NAME:valeroenergycorporation,Valero Energy Corporation,United States,US,Energy,USD,Oil & Gas Refining & Marketing,0.0,0.0,Hold,64,64,75.72968638631504,69.93481848502114,53.35416666666667,81.08624857805513,0.35,0.0159,0.35630395968860706,-0.625509130749648,0.35,1.1651220748019089,-0.29738798791845733,-0.4220943738094698,-0.4220943738094698,0.27551096091559846,0.3484329729227183,60.29919625849569,55.03901015576895,63.45412930220685,96.00855310049893,915270677.0500001,60,87239139328.0,0.0159,0.05765760688087838,69.23928866833991,55.85957079582832,61.7830166673143,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,finnhub_reported,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,0.0,score_weighted,True,False,True,optimal,143,140,0.9500000000000002,0.9500000000000002,False,False,True,True,True
IMB.LSE,IMB.LSE,NAME:imperialbrandsplc,Imperial Brands PLC,United Kingdom,UK,Consumer Staples,GBX,Tobacco,0.0,0.0,Hold,64,64,80.66346096493005,72.70300415285553,61.10416666666667,83.2973760420765,0.35,0.060700000000000004,0.21226315608544052,-0.20977197781715462,0.35,0.8231627312643504,-0.034464165641039435,-0.10875627027094362,-0.10875627027094362,0.2967287386933762,0.3052678132491873,15.53661003870623,51.20091053531878,36.60383689706007,64.86101211689237,108609305.10956678,60,28247281433.55433,0.060700000000000004,0.15139817420322194,50.68453399515016,79.15185350173415,64.74353900103108,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,0.05,score_weighted,True,False,True,optimal,143,140,0.9500000000000002,0.9500000000000002,False,False,True,True,True
DG.PA,DG.PA,NAME:vincisa,Vinci S.A.,France,EU ex-DACH,Industrials,EUR,Engineering & Construction,0.0,0.0,Hold,64,64,73.03162575459554,73.60283208798015,22.145833333333332,81.00001336983581,0.35,0.0401,0.24494107133682208,-0.30031164155008583,0.35,0.8988582079765411,-0.09383556005405586,-0.1795649350219436,-0.1795649350219436,0.2879554053600429,0.3137287450483155,25.652133574563372,51.70476164034639,42.49466805406884,67.14183891660727,125737933.49358062,60,79609943910.41342,0.0401,0.11617948103448908,59.50069355664969,74.6431740038718,70.06368683318632,False,False,True,False,True,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,yahoo_finance_timeseries",False,False,Equity,Active,alt_data_review;narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,0.0,score_weighted,True,False,True,optimal,143,140,0.9500000000000002,0.9500000000000002,False,False,True,True,True
