security_id,ticker,company_name,target_weight,current_weight,sector,country,region,currency,contribution_to_expected_return,contribution_to_dividend_income,contribution_to_volatility,contribution_to_var_5,contribution_to_cvar_5,contribution_to_expected_shortfall_5,contribution_to_drawdown_risk,contribution_to_dividend_cut_risk,contribution_to_tail_risk,contribution_to_liquidity_risk,contribution_to_regime_risk,contribution_to_narrative_risk,contribution_to_alt_data_risk,risk_contribution_rank,risk_commentary
ESSITY-B.ST,ESSITY-B.ST,Essity AB (publ),0.05,0.0,Consumer Staples,Sweden,EU ex-DACH,SEK,0.017499999999999998,0.0015500000000000002,0.009194152491044395,0.000908729806759831,-0.0023092235651057075,-0.0023092235651057075,0.014817705885407977,0.011014436934668812,0.0032988908072938677,0.02694226657163222,0.024841105281093182,0.040500006684917905,0.014168750000000003,16,High narrative/regime risk contribution despite attractive yield.
000538.SHE,000538.SHE,Yunnan Baiyao Group Co Ltd,0.05,0.0,Healthcare,China,Mainland China,CNY,0.017499999999999998,0.0015600000000000002,0.00706031195383287,0.004786550642536822,0.0023154414586953175,0.0023154414586953175,0.01335586850733915,0.011347770268002145,0.0,0.020741268709907345,0.024692240453682984,0.04335934212721682,0.012835416666666662,17,High narrative/regime risk contribution despite attractive yield.
600036.SHG,600036.SHG,China Merchants Bank Co Ltd,0.05,0.0,Financials,China,Mainland China,CNY,0.017499999999999998,0.005155000000000001,0.008470162760128144,0.002210806312252564,-0.0007537506537922862,-0.0007537506537922862,0.0135086558517363,0.014347057509627234,0.0010767866482746947,0.004739843193157519,0.006336871398048402,0.04335934212721682,0.02561458333333334,18,High narrative/regime risk contribution despite attractive yield.
601816.SHG,601816.SHG,Beijing-Shanghai High Speed Railway Co Ltd,0.05,0.0,Industrials,China,Mainland China,CNY,0.017499999999999998,0.00132,0.007672303087041731,0.0036487152888588477,0.000963409208394242,0.000963409208394242,0.013465624805689351,0.01466443693466881,0.0,0.016001425516749827,0.019658425497852947,0.042774751557120745,0.026531250000000003,19,High narrative/regime risk contribution despite attractive yield.
000001.SHE,000001.SHE,Ping An Bank Co Ltd,0.05,0.0,Financials,China,Mainland China,CNY,0.017499999999999998,0.002645,0.007860829843954394,0.003317486252984772,0.0005661958076007345,0.0005661958076007345,0.01314239498361381,0.014524835287405015,0.0,0.013613684960798289,0.008240919080998147,0.04335934212721682,0.03269791666666667,20,High narrative/regime risk contribution despite attractive yield.
HNR1.XETRA,HNR1.XETRA,Hannover Rück SE,0.0,0.0,Financials,Germany,DACH,EUR,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,Low-risk defensive contributor with strong diversification benefit.
1398.HK,1398.HK,Industrial and Commercial Bank of China,0.0,0.0,Financials,Hong Kong,Hong Kong,HKD,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,Low-risk defensive contributor with strong diversification benefit.
601398.SHG,601398.SHG,Industrial and Commercial Bank of China Ltd,0.0,0.0,Financials,China,Mainland China,CNY,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,Low-risk defensive contributor with strong diversification benefit.
T.US,T.US,AT&T Inc.,0.0,0.0,Communication Services,United States,US,USD,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,Low-risk defensive contributor with strong diversification benefit.
601919.SHG,601919.SHG,COSCO SHIPPING Holdings Co Ltd,0.0,0.0,Industrials,China,Mainland China,CNY,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,Low-risk defensive contributor with strong diversification benefit.
002142.SHE,002142.SHE,Bank of Ningbo Co Ltd,0.0,0.0,Financials,China,Mainland China,CNY,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,Low-risk defensive contributor with strong diversification benefit.
600406.SHG,600406.SHG,NARI Technology Co Ltd,0.0,0.0,Industrials,China,Mainland China,CNY,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,Low-risk defensive contributor with strong diversification benefit.
PGR.US,PGR.US,Progressive Corp,0.0,0.0,Financials,United States,US,USD,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Low-risk defensive contributor with strong diversification benefit.
2318.HK,2318.HK,Ping An Insurance,0.0,0.0,Financials,Hong Kong,Hong Kong,HKD,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,Low-risk defensive contributor with strong diversification benefit.
0939.HK,0939.HK,China Construction Bank Corp,0.0,0.0,Financials,Hong Kong,Hong Kong,HKD,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,Low-risk defensive contributor with strong diversification benefit.
VZ.US,VZ.US,Verizon Communications Inc,0.0,0.0,Communication Services,United States,US,USD,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,Low-risk defensive contributor with strong diversification benefit.
VLO.US,VLO.US,Valero Energy Corporation,0.0,0.0,Energy,United States,US,USD,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,Low-risk defensive contributor with strong diversification benefit.
DG.PA,DG.PA,Vinci S.A.,0.0,0.0,Industrials,France,EU ex-DACH,EUR,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,Low-risk defensive contributor with strong diversification benefit.
CVX.US,CVX.US,Chevron Corp,0.0,0.0,Energy,United States,US,USD,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,Low-risk defensive contributor with strong diversification benefit.
BMY.US,BMY.US,Bristol-Myers Squibb Company,0.0,0.0,Healthcare,United States,US,USD,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,Low-risk defensive contributor with strong diversification benefit.
ALL.US,ALL.US,The Allstate Corporation,0.0,0.0,Financials,United States,US,USD,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,Low-risk defensive contributor with strong diversification benefit.
AIG.US,AIG.US,American International Group Inc,0.0,0.0,Financials,United States,US,USD,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,Low-risk defensive contributor with strong diversification benefit.
PUB.PA,PUB.PA,Publicis Groupe SA,0.0,0.0,Communication Services,France,EU ex-DACH,EUR,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,Low-risk defensive contributor with strong diversification benefit.
600050.SHG,600050.SHG,China United Network Communications Ltd,0.0,0.0,Communication Services,China,Mainland China,CNY,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,Low-risk defensive contributor with strong diversification benefit.
