horizon_months,candidate,family,category,folds,expected_folds,complete_validation,observations,independent_observations,mean_rank_ic,rank_ic_information_ratio,rank_ic_newey_west_t_stat,rank_ic_hit_rate,independent_rank_ic_hit_rate,independent_rank_ic_sign_test_p_value,mean_horizon_gross_active_return,mean_horizon_net_active_return,annualised_net_active_return,indicative_annualised_cohort_return,active_sharpe,active_return_newey_west_t_stat,annualised_turnover,initial_funding_turnover,initial_funding_cost,annualised_transaction_cost_drag,annualised_bank_fee_drag,annualised_cost_drag,active_return_ci_lower_95,active_return_ci_upper_95,selection_score,selected_family_winner
9,extra_trees,extra_trees,tree,2,2,True,6,1,0.0780318514535615,,,1.0,1.0,0.5,0.1138558367894702,0.1111406080711562,,0.1508675893096975,,,1.19683399704472,0.4999999999999998,0.0024383186269893,0.0062473288389457,0.0025,0.0087473288389457,,,0.0938486635009033,True
9,hist_gradient_boosting__l2_regularization-5p0_learning_rate-0p04_max_iter-160_max_leaf_nodes-7,hist_gradient_boosting,tree,2,2,True,6,1,0.0935686159205702,,,1.0,1.0,0.5,0.1284133811884817,0.1256338774188254,,0.1709262451122239,,,1.456942024587903,0.4999999999999998,0.0023995129169494,0.0072660232823712,0.0025,0.0097660232823712,,,0.1104076650293975,True
9,huber,huber,linear,2,2,True,6,1,0.1581253027521734,,,1.0,1.0,0.5,0.1005425182829439,0.0978198227949526,,0.1325083805698108,,,1.3944693621129152,0.4999999999999996,0.0023056127741472,0.0066733443691214,0.0025,0.0091733443691214,,,0.1686355648297824,True
9,ols_screened,ols_screened,linear,2,2,True,6,1,0.0615365955786718,,,1.0,1.0,0.5,0.1024238004863575,0.0996957940177262,,0.1350894452532094,,,1.316091425794737,0.4999999999999997,0.002364296298051,0.0066089820329684,0.0025,0.0091089820329684,,,0.0732996298251559,True
9,random_forest__max_depth-10_max_features-0p7_min_samples_leaf-80_n_estimators-120,random_forest,tree,2,2,True,6,1,0.0960032791815603,,,1.0,1.0,0.5,0.1165799447365182,0.1137976605062711,,0.154538452187477,,,1.459747462949824,0.4999999999999998,0.0023986048004212,0.0073082413945472,0.0025,0.0098082413945472,,,0.1098552196786299,True
9,ridge__alpha-100p0,ridge,linear,2,2,True,6,1,0.1505113600155493,,,1.0,1.0,0.5,0.1303798208067727,0.1276469214426226,,0.1737191347189544,,,1.3851240463774284,0.4999999999999998,0.0023317355147088,0.0067575856084601,0.0025,0.0092575856084601,,,0.1685718499124307,True
9,xgb_ranker,xgb_ranker,ranker,2,2,True,6,1,0.0735000463464674,,,0.6666666666666666,1.0,0.5,0.1087783752106488,0.105967329132415,,0.1437288176333222,,,1.4678408243198038,0.4999999999999998,0.002459657211246,0.007575886219576,0.0025,0.010075886219576,,,0.0853134703863732,True
9,xgboost__learning_rate-0p035_max_depth-3_min_child_weight-75p0_n_estimators-400_reg_lambda-25p0,xgboost,tree,2,2,True,6,1,0.0753836972562727,,,1.0,1.0,0.5,0.1194792138553663,0.1166889812244165,,0.1585362870860243,,,1.4459335666520516,0.4999999999999998,0.0024634090981879,0.0072671680500256,0.0025,0.0097671680500256,,,0.0900966068958563,True
12,elastic_net__alpha-0p001_l1_ratio-0p5,elastic_net,linear,1,1,True,3,1,0.1388228419747591,,,1.0,1.0,0.5,0.1701416069478227,0.1664420305429794,,0.1664420305429794,,,1.4999999999999991,0.4999999999999998,0.0023637291202447,0.0074100005657113,0.0025,0.0099100005657113,,,0.165433349610504,True
12,extra_trees,extra_trees,tree,1,1,True,3,1,0.0805777152114774,,,1.0,1.0,0.5,0.1605483358208274,0.156791531842938,,0.156791531842938,,,1.5000000000000004,0.4999999999999997,0.0024495127664212,0.0079253950034819,0.0025,0.0104253950034819,,,0.1047755981722119,True
12,hist_gradient_boosting__l2_regularization-5p0_learning_rate-0p04_max_iter-160_max_leaf_nodes-7,hist_gradient_boosting,tree,1,1,True,3,1,0.0931281963200002,,,1.0,1.0,0.5,0.1817203396395481,0.1780020999561581,,0.1780020999561582,,,1.500000000000002,0.4999999999999998,0.002388670730735,0.0075962899166095,0.0025,0.0100962899166095,,,0.1226287213090398,True
12,huber,huber,linear,1,1,True,3,1,0.1148755095504627,,,1.0,1.0,0.5,0.1138373625684484,0.1101690707998378,,0.1101690707998379,,,1.4999999999999991,0.4999999999999998,0.002292831495895,0.0072722628596196,0.0025,0.0097722628596196,,,0.1274177772504221,True
12,ols_screened,ols_screened,linear,1,1,True,3,1,0.0297461588595213,,,1.0,1.0,0.5,0.1321212822811714,0.1284332383906807,,0.1284332383906807,,,1.5,0.4999999999999998,0.0023159378757266,0.0074891627744741,0.0025,0.0099891627744741,,,0.0468544684571915,True
12,random_forest__max_depth-6_max_features-0p7_min_samples_leaf-80_n_estimators-120,random_forest,tree,1,1,True,3,1,0.1221237216998042,,,1.0,1.0,0.5,0.1532815059379159,0.1495331407640899,,0.1495331407640898,,,1.5000000000000004,0.4999999999999999,0.0024408977896211,0.0078251863911413,0.0025,0.0103251863911413,,,0.1445070068908267,True
12,ridge__alpha-100p0,ridge,linear,1,1,True,3,1,0.1385878579871763,,,1.0,1.0,0.5,0.172093830316041,0.1684102158921626,,0.1684102158921627,,,1.499999999999999,0.4999999999999997,0.0023339266743436,0.0073014995837479,0.0025,0.0098014995837479,,,0.165690411960217,True
12,xgb_ranker,xgb_ranker,ranker,1,1,True,3,1,0.1245678242394286,,,1.0,1.0,0.5,0.1639994359282582,0.1602356195354315,,0.1602356195354315,,,1.5000000000000004,0.4999999999999998,0.002467372014352,0.0079444629847686,0.0025,0.0104444629847686,,,0.1496267291232865,True
12,xgboost__learning_rate-0p035_max_depth-2_min_child_weight-50p0_n_estimators-400_reg_lambda-15p0,xgboost,tree,1,1,True,3,1,0.0712301459503734,,,1.0,1.0,0.5,0.158862282840074,0.1550821464532181,,0.1550821464532181,,,1.5000000000000029,0.4999999999999999,0.0024874313093012,0.0081178671075984,0.0025,0.0106178671075984,,,0.0950006825636779,True
