feature,monthly_slopes,mean_slope,newey_west_t_stat,sign_consistency,selected,horizon_months,fold
revenue_growth,59,0.0061448582253971,0.3853881477337511,0.5254237288135594,False,3,2024-03-31_2024-05-31
ebitda_margin,59,-0.0163313769803693,-1.489461625240846,0.576271186440678,True,3,2024-03-31_2024-05-31
net_income_margin,59,-0.0018009814563994,-0.116008433884542,0.4745762711864407,False,3,2024-03-31_2024-05-31
free_cash_flow_yield,59,0.0173499850887431,1.303918017194306,0.6271186440677966,True,3,2024-03-31_2024-05-31
fcf_margin,59,0.0128452938611035,0.8804253089490329,0.5084745762711864,False,3,2024-03-31_2024-05-31
fcf_stability,59,-0.0104544833182775,-0.9765326170322582,0.576271186440678,False,3,2024-03-31_2024-05-31
cfo_to_net_income,59,0.0043483916693134,0.4328679719944276,0.4745762711864407,False,3,2024-03-31_2024-05-31
net_debt_to_ebitda,59,-0.0031983594839648,-0.1542700897590251,0.5423728813559322,False,3,2024-03-31_2024-05-31
interest_coverage,59,0.0177890411498899,0.8417070987486996,0.576271186440678,False,3,2024-03-31_2024-05-31
roe,59,0.0157899312763798,0.7081385571987623,0.4915254237288136,False,3,2024-03-31_2024-05-31
roic,59,0.0157780632497422,0.7254181529423275,0.5423728813559322,False,3,2024-03-31_2024-05-31
pe_ratio,59,-0.0256783933816779,-0.8514613294419605,0.559322033898305,False,3,2024-03-31_2024-05-31
pb_ratio,59,-0.011234456319541,-0.3012152372651216,0.576271186440678,False,3,2024-03-31_2024-05-31
ev_ebitda,59,-0.0166356162817236,-0.7045932228891251,0.5423728813559322,False,3,2024-03-31_2024-05-31
dividend_yield,59,0.0309949394773312,1.039709232893994,0.576271186440678,False,3,2024-03-31_2024-05-31
dividend_growth_3y,59,0.0231000440211616,2.3663466376140887,0.6440677966101694,True,3,2024-03-31_2024-05-31
dividend_growth_5y,58,0.0208324486965872,2.208418226268405,0.6206896551724138,True,3,2024-03-31_2024-05-31
payout_ratio,59,0.0100688064480345,0.7755078145276572,0.559322033898305,False,3,2024-03-31_2024-05-31
positive_fcf_years_5,59,0.0219176103094618,1.2946924160213469,0.6610169491525424,True,3,2024-03-31_2024-05-31
cash_flow_quality_score,59,0.015378265596333,1.181340707168996,0.559322033898305,False,3,2024-03-31_2024-05-31
balance_sheet_strength_score,59,0.0004123105237563,0.0192875148881442,0.559322033898305,False,3,2024-03-31_2024-05-31
earnings_stability_score,59,0.0019353500042327,0.1729145718731612,0.4915254237288136,False,3,2024-03-31_2024-05-31
fcf_dividend_cover,59,0.0076741731971295,0.5899057292215248,0.5254237288135594,False,3,2024-03-31_2024-05-31
dividend_stability_score,58,0.0226158408920456,2.2210487697388097,0.5862068965517241,True,3,2024-03-31_2024-05-31
dividend_safety_score,58,0.0260550459340765,1.7196498603930326,0.6551724137931034,True,3,2024-03-31_2024-05-31
valuation_score,59,0.0145623031876223,0.4397394427929706,0.559322033898305,False,3,2024-03-31_2024-05-31
valuation_percentile,59,0.0145623031876223,0.4397394427929706,0.559322033898305,False,3,2024-03-31_2024-05-31
volatility_1y,59,0.0049287810931118,0.1860419582652764,0.4576271186440678,False,3,2024-03-31_2024-05-31
downside_volatility,59,-0.0017936765770456,-0.0765289170399062,0.5254237288135594,False,3,2024-03-31_2024-05-31
beta_local_market,59,-0.0121437238224873,-0.3627000601919378,0.4915254237288136,False,3,2024-03-31_2024-05-31
beta_global_market,59,0.0049287810931118,0.1860419582652764,0.4576271186440678,False,3,2024-03-31_2024-05-31
max_drawdown_1y,59,0.0096146789202583,0.3269883373633424,0.576271186440678,False,3,2024-03-31_2024-05-31
var_5,59,-0.0073536036423579,-0.2670536094030775,0.4406779661016949,False,3,2024-03-31_2024-05-31
cvar_5,59,0.0005360668269886,0.0213675212221824,0.559322033898305,False,3,2024-03-31_2024-05-31
momentum_6m,59,0.023056294996436,1.065066228577949,0.6101694915254238,False,3,2024-03-31_2024-05-31
sharpe_proxy,59,-0.0117458577976879,-0.3423705492142112,0.5084745762711864,False,3,2024-03-31_2024-05-31
sortino_proxy,59,-0.011193839731184,-0.3253207687626495,0.4915254237288136,False,3,2024-03-31_2024-05-31
risk_score,59,0.0012510116133562,0.0468501360104183,0.559322033898305,False,3,2024-03-31_2024-05-31
liquidity_score,59,0.0106645397245394,2.216457320176855,0.6610169491525424,True,3,2024-03-31_2024-05-31
liquidity_stress_score,59,-0.0106645397245394,-2.216457320176854,0.6610169491525424,True,3,2024-03-31_2024-05-31
average_daily_value_usd,59,0.0106645397245394,2.216457320176855,0.6610169491525424,True,3,2024-03-31_2024-05-31
market_cap_usd,59,-0.0513302502818087,-3.51714524109328,0.7288135593220338,True,3,2024-03-31_2024-05-31
fundamentals_period_count,59,0.0217567031863378,2.1509791589551184,0.6440677966101694,True,3,2024-03-31_2024-05-31
fundamentals_coverage_ratio,59,-0.0102987940016373,-0.8610106241275519,0.576271186440678,False,3,2024-03-31_2024-05-31
log_market_cap_usd,59,-0.0513302502818087,-3.51714524109328,0.7288135593220338,True,3,2024-03-31_2024-05-31
log_average_daily_value_usd,59,0.0106645397245394,2.216457320176855,0.6610169491525424,True,3,2024-03-31_2024-05-31
revenue_growth__regional_rank,59,0.00407916464202,0.2432810795702598,0.5423728813559322,False,3,2024-03-31_2024-05-31
free_cash_flow_yield__regional_rank,59,0.0182270252962355,1.3919348826214424,0.6101694915254238,True,3,2024-03-31_2024-05-31
net_debt_to_ebitda__regional_rank,59,-0.0012976852791025,-0.0621360593764095,0.5254237288135594,False,3,2024-03-31_2024-05-31
interest_coverage__regional_rank,59,0.0103873133507061,0.4972401711064864,0.576271186440678,False,3,2024-03-31_2024-05-31
roe__regional_rank,59,0.0172036970895569,0.704826660530723,0.4745762711864407,False,3,2024-03-31_2024-05-31
roic__regional_rank,59,0.0166543435682383,0.7420624061304626,0.559322033898305,False,3,2024-03-31_2024-05-31
pe_ratio__regional_rank,59,-0.027348271181373,-0.8923320111957886,0.5423728813559322,False,3,2024-03-31_2024-05-31
pb_ratio__regional_rank,59,-0.0101951370322471,-0.2598077882068424,0.576271186440678,False,3,2024-03-31_2024-05-31
ev_ebitda__regional_rank,59,-0.0192205977549834,-0.771058680200698,0.559322033898305,False,3,2024-03-31_2024-05-31
dividend_yield__regional_rank,59,0.0344651557797333,1.1905008314226693,0.5932203389830508,False,3,2024-03-31_2024-05-31
cash_flow_quality_score__regional_rank,59,0.0161523919719371,1.2606810676634477,0.559322033898305,True,3,2024-03-31_2024-05-31
balance_sheet_strength_score__regional_rank,59,-0.0026866987436895,-0.1329766617932117,0.4745762711864407,False,3,2024-03-31_2024-05-31
dividend_safety_score__regional_rank,58,0.0237250190780092,1.5190017337019244,0.6551724137931034,True,3,2024-03-31_2024-05-31
valuation_score__regional_rank,59,0.0171653020278951,0.5029834570897238,0.5423728813559322,False,3,2024-03-31_2024-05-31
volatility_1y__regional_rank,59,0.0002383478611595,0.0079732888936645,0.3898305084745763,False,3,2024-03-31_2024-05-31
beta_local_market__regional_rank,59,-0.0135797622597736,-0.3830709547082259,0.4576271186440678,False,3,2024-03-31_2024-05-31
max_drawdown_1y__regional_rank,59,0.013132537443701,0.4056138142212734,0.559322033898305,False,3,2024-03-31_2024-05-31
momentum_6m__regional_rank,59,0.0241740263751535,1.0818258885923329,0.6271186440677966,False,3,2024-03-31_2024-05-31
liquidity_score__regional_rank,59,0.0212326869861847,2.9141733388479176,0.6610169491525424,True,3,2024-03-31_2024-05-31
average_daily_value_usd__regional_rank,59,0.0212326869861847,2.9141733388479176,0.6610169491525424,True,3,2024-03-31_2024-05-31
market_cap_usd__regional_rank,59,-0.0570027262536453,-3.424943830042188,0.7627118644067796,True,3,2024-03-31_2024-05-31
revenue_growth,62,0.0086296976889027,0.5622083227398623,0.532258064516129,False,3,2024-06-30_2024-08-31
ebitda_margin,62,-0.0205304228159639,-1.854588630509272,0.5967741935483871,True,3,2024-06-30_2024-08-31
net_income_margin,62,-0.0063307929014141,-0.4192089861618375,0.5,False,3,2024-06-30_2024-08-31
free_cash_flow_yield,62,0.0191617317516517,1.4810662111121669,0.6290322580645161,True,3,2024-06-30_2024-08-31
fcf_margin,62,0.0092289767978612,0.6525938998209456,0.5,False,3,2024-06-30_2024-08-31
fcf_stability,62,-0.010145980655753,-0.986642952054892,0.5806451612903226,False,3,2024-06-30_2024-08-31
cfo_to_net_income,62,0.0068565493808813,0.6963131866599294,0.4838709677419355,False,3,2024-06-30_2024-08-31
net_debt_to_ebitda,62,-0.0048414435323347,-0.2440656144286306,0.5483870967741935,False,3,2024-06-30_2024-08-31
interest_coverage,62,0.0179747165215154,0.892159659752118,0.5806451612903226,False,3,2024-06-30_2024-08-31
roe,62,0.0153013958178965,0.7206179581704961,0.5,False,3,2024-06-30_2024-08-31
roic,62,0.0171867316467818,0.8268994292712032,0.5645161290322581,False,3,2024-06-30_2024-08-31
pe_ratio,62,-0.0289081400339081,-1.0004245424002596,0.5806451612903226,False,3,2024-06-30_2024-08-31
pb_ratio,62,-0.0136024264599546,-0.3823785108689617,0.5806451612903226,False,3,2024-06-30_2024-08-31
ev_ebitda,62,-0.0216058074135908,-0.941531207443606,0.5645161290322581,False,3,2024-06-30_2024-08-31
dividend_yield,62,0.0305509408027873,1.076504363285553,0.5806451612903226,False,3,2024-06-30_2024-08-31
dividend_growth_3y,62,0.0229020841415931,2.460954022459257,0.6612903225806451,True,3,2024-06-30_2024-08-31
dividend_growth_5y,61,0.0220245876871946,2.4385345702893826,0.639344262295082,True,3,2024-06-30_2024-08-31
payout_ratio,62,0.0060333633150429,0.4690430811472771,0.532258064516129,False,3,2024-06-30_2024-08-31
positive_fcf_years_5,62,0.0185270098512608,1.133438326865437,0.6290322580645161,False,3,2024-06-30_2024-08-31
cash_flow_quality_score,62,0.0140194906659951,1.12011003966576,0.5645161290322581,False,3,2024-06-30_2024-08-31
balance_sheet_strength_score,62,0.0025026264591206,0.1224024891898119,0.5645161290322581,False,3,2024-06-30_2024-08-31
earnings_stability_score,62,0.00172019886442,0.1604649540430366,0.4838709677419355,False,3,2024-06-30_2024-08-31
fcf_dividend_cover,62,0.0086907122150721,0.6941829935987122,0.532258064516129,False,3,2024-06-30_2024-08-31
dividend_stability_score,61,0.0217482035468916,2.2406438003479634,0.5901639344262295,True,3,2024-06-30_2024-08-31
dividend_safety_score,61,0.0276210064253187,1.8916377379232696,0.6557377049180327,True,3,2024-06-30_2024-08-31
valuation_score,62,0.0182558190912369,0.5754322534372497,0.5806451612903226,False,3,2024-06-30_2024-08-31
valuation_percentile,62,0.0182558190912369,0.5754322534372497,0.5806451612903226,False,3,2024-06-30_2024-08-31
volatility_1y,62,0.0105183882103728,0.4103668444735623,0.4838709677419355,False,3,2024-06-30_2024-08-31
downside_volatility,62,0.0038252413188315,0.1678574577017042,0.5,False,3,2024-06-30_2024-08-31
beta_local_market,62,-0.003680080019471,-0.1111554110054966,0.4677419354838709,False,3,2024-06-30_2024-08-31
beta_global_market,62,0.0105183882103728,0.4103668444735623,0.4838709677419355,False,3,2024-06-30_2024-08-31
max_drawdown_1y,62,0.0093225038342036,0.3309269077360688,0.5645161290322581,False,3,2024-06-30_2024-08-31
var_5,62,-0.012349694516128,-0.465014666720157,0.4516129032258064,False,3,2024-06-30_2024-08-31
cvar_5,62,-0.0054023398858029,-0.2215321908134347,0.4677419354838709,False,3,2024-06-30_2024-08-31
momentum_6m,62,0.0219856268492655,1.0619184082401611,0.5967741935483871,False,3,2024-06-30_2024-08-31
sharpe_proxy,62,-0.0047980699318894,-0.1429831724322531,0.4838709677419355,False,3,2024-06-30_2024-08-31
sortino_proxy,62,-0.0039859058200272,-0.1182885233592726,0.4677419354838709,False,3,2024-06-30_2024-08-31
risk_score,62,-0.0034297703535726,-0.1332985458417064,0.4516129032258064,False,3,2024-06-30_2024-08-31
liquidity_score,62,0.0125603158004441,2.645593301973002,0.6774193548387096,True,3,2024-06-30_2024-08-31
liquidity_stress_score,62,-0.0125603158004441,-2.6455933019730016,0.6774193548387096,True,3,2024-06-30_2024-08-31
average_daily_value_usd,62,0.0125603158004441,2.645593301973002,0.6774193548387096,True,3,2024-06-30_2024-08-31
market_cap_usd,62,-0.0526239590775462,-3.751714958415808,0.7258064516129032,True,3,2024-06-30_2024-08-31
fundamentals_period_count,62,0.0219744855500239,2.2860258388122787,0.6612903225806451,True,3,2024-06-30_2024-08-31
fundamentals_coverage_ratio,62,-0.0110407866165108,-0.9612008765770748,0.5806451612903226,False,3,2024-06-30_2024-08-31
log_market_cap_usd,62,-0.0526239590775462,-3.751714958415808,0.7258064516129032,True,3,2024-06-30_2024-08-31
log_average_daily_value_usd,62,0.0125603158004441,2.645593301973002,0.6774193548387096,True,3,2024-06-30_2024-08-31
revenue_growth__regional_rank,62,0.0055827274914489,0.3481448841328687,0.5483870967741935,False,3,2024-06-30_2024-08-31
free_cash_flow_yield__regional_rank,62,0.0203733634861515,1.5979818572065432,0.6129032258064516,True,3,2024-06-30_2024-08-31
net_debt_to_ebitda__regional_rank,62,-0.0022579651634487,-0.1132058272129484,0.532258064516129,False,3,2024-06-30_2024-08-31
interest_coverage__regional_rank,62,0.0109175788825203,0.5476123153689103,0.5806451612903226,False,3,2024-06-30_2024-08-31
roe__regional_rank,62,0.0169335560272017,0.7289295627266935,0.4838709677419355,False,3,2024-06-30_2024-08-31
roic__regional_rank,62,0.0183077429665683,0.8534735791925612,0.5806451612903226,False,3,2024-06-30_2024-08-31
pe_ratio__regional_rank,62,-0.0306064242060357,-1.0422505517825806,0.5645161290322581,False,3,2024-06-30_2024-08-31
pb_ratio__regional_rank,62,-0.0124299541957515,-0.3321673864755835,0.5806451612903226,False,3,2024-06-30_2024-08-31
ev_ebitda__regional_rank,62,-0.0235642374573786,-0.9786349339464452,0.5806451612903226,False,3,2024-06-30_2024-08-31
dividend_yield__regional_rank,62,0.0339651775481738,1.2321744762881768,0.5967741935483871,True,3,2024-06-30_2024-08-31
cash_flow_quality_score__regional_rank,62,0.0152713605347184,1.2438542170663236,0.5645161290322581,True,3,2024-06-30_2024-08-31
balance_sheet_strength_score__regional_rank,62,-0.0004634335253015,-0.0239492651851448,0.4677419354838709,False,3,2024-06-30_2024-08-31
dividend_safety_score__regional_rank,61,0.0254536969195144,1.689452053238522,0.6557377049180327,True,3,2024-06-30_2024-08-31
valuation_score__regional_rank,62,0.0204708395488192,0.6269305292282523,0.5483870967741935,False,3,2024-06-30_2024-08-31
volatility_1y__regional_rank,62,0.006613292060395,0.2285438879350215,0.4193548387096774,False,3,2024-06-30_2024-08-31
beta_local_market__regional_rank,62,-0.0042318677877604,-0.1203994630604657,0.4354838709677419,False,3,2024-06-30_2024-08-31
max_drawdown_1y__regional_rank,62,0.0131412684483385,0.4236814634201083,0.5483870967741935,False,3,2024-06-30_2024-08-31
momentum_6m__regional_rank,62,0.0231550493242716,1.083932674914731,0.6129032258064516,False,3,2024-06-30_2024-08-31
liquidity_score__regional_rank,62,0.0234168812635073,3.3017797082657165,0.6774193548387096,True,3,2024-06-30_2024-08-31
average_daily_value_usd__regional_rank,62,0.0234168812635073,3.3017797082657165,0.6774193548387096,True,3,2024-06-30_2024-08-31
market_cap_usd__regional_rank,62,-0.0597944193075052,-3.7203819916908336,0.7741935483870968,True,3,2024-06-30_2024-08-31
revenue_growth,65,0.007646094326382,0.5219234206607339,0.5230769230769231,False,3,2024-09-30_2024-11-30
ebitda_margin,65,-0.020628522747669,-1.9482442520846537,0.6,True,3,2024-09-30_2024-11-30
net_income_margin,65,-0.0035595993581756,-0.2445708741937631,0.4769230769230769,False,3,2024-09-30_2024-11-30
free_cash_flow_yield,65,0.0209657275749009,1.6798120675301296,0.6461538461538462,True,3,2024-09-30_2024-11-30
fcf_margin,65,0.0117939917060988,0.8606772514990821,0.5230769230769231,False,3,2024-09-30_2024-11-30
fcf_stability,65,-0.0057544389436884,-0.5513211179222013,0.5538461538461539,False,3,2024-09-30_2024-11-30
cfo_to_net_income,65,0.008113530429408,0.8494577871121594,0.5076923076923077,False,3,2024-09-30_2024-11-30
net_debt_to_ebitda,65,-0.0004861777917128,-0.0252380970098016,0.5230769230769231,False,3,2024-09-30_2024-11-30
interest_coverage,65,0.0134776550557381,0.6864496857183893,0.5538461538461539,False,3,2024-09-30_2024-11-30
roe,65,0.0131918277289222,0.6482114543238827,0.4769230769230769,False,3,2024-09-30_2024-11-30
roic,65,0.0132106573368407,0.6572024484795141,0.5384615384615384,False,3,2024-09-30_2024-11-30
pe_ratio,65,-0.0325750603867688,-1.163823217199853,0.5846153846153846,False,3,2024-09-30_2024-11-30
pb_ratio,65,-0.0176319185373998,-0.514750056973321,0.5846153846153846,False,3,2024-09-30_2024-11-30
