horizon_months,split,observations,calibration_method,calibration_dates,calibration_target_coverage,lower_coverage,central_90_coverage,upper_coverage,mean_interval_width,pinball_loss_q05,pinball_loss_q50,pinball_loss_q95
3,legacy_locked_oos,14837,purged_date_block_conformal,12,0.95,0.0144234009570667,0.9464177394351958,0.9608411403922624,0.5604299097979105,0.0145620292722325,0.0575815849434407,0.0219305223463137
6,legacy_locked_oos,9451,purged_date_block_conformal,12,0.95,0.015871336366522,0.9336578139879378,0.9495291503544598,0.8289359217989418,0.0211251244713249,0.0888556071950777,0.0377083309848903
9,legacy_locked_oos,5391,purged_date_block_conformal,12,0.95,0.0246707475421999,0.9194954553886108,0.9441662029308108,1.0006900242204777,0.025193458908934,0.1160155595199941,0.0502460962526745
12,legacy_locked_oos,1346,purged_date_block_conformal,12,0.95,0.0334323922734026,0.9049034175334324,0.9383358098068352,1.1743059085342815,0.0306990981826975,0.1474613404371049,0.0741988666428615
