split,start_date,end_date,observations,panel_hash_sha256,holdout_label,prospective_holdout_start,test_period_model_selection_allowed
train,1997-07-31,2019-10-31,268,1e97e591ada85176b642ac586310141a990ceba013e9729af7f95d0e7a3dc41e,legacy_locked_oos_seen_once,2026-08-31,False
validation,2019-12-31,2025-04-30,65,1e97e591ada85176b642ac586310141a990ceba013e9729af7f95d0e7a3dc41e,legacy_locked_oos_seen_once,2026-08-31,False
embargo,2019-11-30,2025-05-31,2,1e97e591ada85176b642ac586310141a990ceba013e9729af7f95d0e7a3dc41e,legacy_locked_oos_seen_once,2026-08-31,False
legacy_locked_oos,2025-06-30,2026-05-31,12,1e97e591ada85176b642ac586310141a990ceba013e9729af7f95d0e7a3dc41e,legacy_locked_oos_seen_once,2026-08-31,False
